target_date,city,decision_hour_local,bracket,current_native,running_native,bracket_upper,final_max_native,actual_peak_first_hour_local,actual_peak_last_hour_local,actual_peak_afternoon,future_max_above_running,final_max_above_current_upper,label_no_wins,no_ask,stake_profit_usd,peak_already_started_by_decision,final_did_not_cross_bracket_upper
2026-05-26,Dallas,14,86-87,86.0,86.0,87.0,86.0,13,13,True,False,False,0.0,0.17,-5.0,True,True
2026-05-26,Denver,12,74+,74.0,74.0,74.0,79.0,14,14,True,True,True,0.0,0.037,-5.0,False,False
2026-05-26,Guangzhou,13,37,37.22222222222222,37.22222222222222,37.0,37.22222222222222,13,15,True,False,True,0.0,0.55,-5.0,True,False
2026-05-26,Guangzhou,14,37,37.22222222222222,37.22222222222222,37.0,37.22222222222222,13,15,True,False,True,0.0,0.11,-5.0,True,False
2026-05-26,Helsinki,14,18,17.22222222222222,17.77777777777778,18.0,17.77777777777778,13,13,True,False,False,0.0,0.1,-5.0,True,True
2026-05-26,LA,14,68-69,68.0,68.0,69.0,68.0,13,13,True,False,False,0.0,0.082,-5.0,True,True
2026-05-26,Lucknow,14,42,42.22222222222222,42.22222222222222,42.0,42.22222222222222,14,16,True,False,True,0.0,0.15,-5.0,True,False
2026-05-26,Manila,14,35,35.0,35.0,35.0,35.0,14,14,True,False,False,0.0,0.51,-5.0,True,True
2026-05-26,SanFrancisco,13,62-63,62.0,62.0,63.0,63.0,13,13,True,True,False,0.0,0.22,-5.0,True,True
2026-05-26,SanFrancisco,14,62-63,63.0,63.0,63.0,63.0,13,13,True,False,False,0.0,0.32,-5.0,True,True
2026-05-26,SaoPaulo,14,27,27.22222222222222,27.22222222222222,27.0,27.22222222222222,14,16,True,False,True,0.0,0.239,-5.0,True,False
2026-05-26,Wuhan,13,26,26.11111111111111,26.11111111111111,26.0,26.11111111111111,13,13,True,False,True,0.0,0.45,-5.0,True,False
2026-05-26,Wuhan,14,26,25.0,26.11111111111111,26.0,26.11111111111111,13,13,True,False,True,0.0,0.14,-5.0,True,False
2026-05-27,BuenosAires,13,15,15.0,15.0,15.0,15.0,13,14,True,False,False,0.0,0.41,-5.0,True,True
