period,sizing,fee_profile,exit_policy,rows,dates,cities,win_rate_final,avg_entry,avg_cost,avg_entry_fee,avg_exit_fee,total_cost,total_fees,tp_hit_rate,stop_hit_rate,roi,pnl,roi_ci_low,roi_ci_high,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,path_coverage
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee,tp30_live_fixed30,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,0.0,15.150295323393253,0.6415599999999999,0.21052631578947367,0.0,-0.5139450971591296,-7.786420001970853,-0.6579386859567375,0.5737438003628444,2,2,-5.975508527421598,-0.6579386859567375,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee_stop_taker_fee,hold,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,0.0,15.150295323393253,0.6415599999999999,0.0,0.0,-0.1718807585198951,-2.604044251985252,-0.6287878210275859,4.245812667876149,1,1,-6.775508527421598,-0.628787821027586,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee_stop_taker_fee,hold_plus_late_dust_stop,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,0.0,15.150295323393253,0.6415599999999999,0.0,0.0,-0.1718807585198951,-2.604044251985252,-0.6287878210275859,4.245812667876149,1,1,-6.775508527421598,-0.628787821027586,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee_stop_taker_fee,hold_plus_late_salvage,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,4.789473684210526e-05,15.150295323393253,0.6424699999999999,0.0,0.05263157894736842,-0.17314113027358286,-2.623139256270884,-0.6287878210275859,4.223779389510883,1,1,-6.775508527421598,-0.628787821027586,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee_stop_taker_fee,hold_plus_strict_dead_or_late_dust,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,0.0033126315789473683,15.150295323393253,0.7044999999999999,0.0,0.15789473684210525,-0.08789460969923704,-1.3316292942778263,-0.5322842588002309,4.514135129312517,1,1,-5.735633569714173,-0.5322842588002309,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee_stop_taker_fee,hold_plus_strict_dead_stop,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,0.0033126315789473683,15.150295323393253,0.7044999999999999,0.0,0.15789473684210525,-0.08789460969923704,-1.3316292942778263,-0.5322842588002309,4.514135129312517,1,1,-5.735633569714173,-0.5322842588002309,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee_stop_taker_fee,hold_plus_time_stop,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,0.004146842105263157,15.150295323393253,0.7203499999999999,0.0,0.15789473684210525,-0.3641790583648381,-5.517420284822565,-0.8202548302243392,0.1402043801442084,2,1,-5.298408527421598,-0.8202548302243393,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee_stop_taker_fee,hold_plus_time_stop_or_late_salvage,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,0.004146842105263157,15.150295323393253,0.7203499999999999,0.0,0.15789473684210525,-0.3641790583648381,-5.517420284822565,-0.8202548302243392,0.1402043801442084,2,1,-5.298408527421598,-0.8202548302243393,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee_stop_taker_fee,recover_stake_tp30_live_fixed30,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,0.0,15.150295323393253,0.6415599999999999,0.21052631578947367,0.0,-0.3403049046963752,-5.15571980614928,-0.6878650019371156,3.5302335401625426,2,1,-7.4120951940882644,-0.6878650019371157,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee_stop_taker_fee,tp20_live_fixed20,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,0.0,15.150295323393253,0.6415599999999999,0.3684210526315789,0.0,-0.2988319392561993,-4.527392131793732,-0.7719591239711584,0.04916253357522976,2,1,-2.7081429870442144,-0.7719591239711584,0.8947368421052632
