city,target_date,snapshot_ts_utc,legs,leg_set,cost,pnl,wins,worst_leg_pnl,depth_5c_sum,roi,period
KualaLumpur,2026-06-30,2026-06-30T07:26:03Z,2,"current_yes,d1_no",1.97052,0.02948000000000006,2.0,0.010460000000000025,2169.13,0.014960518035848436,forward_2026-06-29_2026-07-04
KualaLumpur,2026-07-01,2026-07-01T07:15:54Z,1,d1_no,0.9904999999999999,0.009500000000000064,1.0,0.009500000000000064,643.69,0.009591115598182801,forward_2026-06-29_2026-07-04
KualaLumpur,2026-07-04,2026-07-04T07:11:44Z,2,"current_yes,d1_no",1.9800399999999998,0.01996000000000009,2.0,0.009500000000000064,2531.58,0.010080604432233738,forward_2026-06-29_2026-07-04
LA,2026-06-30,2026-06-30T08:02:37Z,1,d1_no,0.98954,0.010460000000000025,1.0,0.010460000000000025,1845.0,0.010570568142773434,forward_2026-06-29_2026-07-04
LA,2026-07-01,2026-07-01T09:18:21Z,1,d1_no,0.97717,0.022830000000000017,1.0,0.022830000000000017,825.3,0.023363386104771962,forward_2026-06-29_2026-07-04
London,2026-06-30,2026-06-30T07:26:03Z,1,d2_no,0.98574,0.01426000000000005,1.0,0.01426000000000005,4578.44,0.014466289285207105,forward_2026-06-29_2026-07-04
London,2026-06-30,2026-06-30T10:39:09Z,1,d1_no,0.98669,0.013310000000000044,1.0,0.013310000000000044,5402.69,0.013489545855334547,forward_2026-06-29_2026-07-04
London,2026-07-01,2026-07-01T09:55:18Z,1,d3_no,0.98764,0.012360000000000038,1.0,0.012360000000000038,1393.19,0.01251468146288125,forward_2026-06-29_2026-07-04
London,2026-07-01,2026-07-01T10:32:16Z,1,d2_no,0.98954,0.010460000000000025,1.0,0.010460000000000025,928.84,0.010570568142773434,forward_2026-06-29_2026-07-04
Lucknow,2026-06-30,2026-06-30T07:26:03Z,1,d3_no,0.98954,0.010460000000000025,1.0,0.010460000000000025,1330.83,0.010570568142773434,forward_2026-06-29_2026-07-04
Lucknow,2026-06-30,2026-06-30T08:02:37Z,1,d2_no,0.95715,0.042850000000000055,1.0,0.042850000000000055,1193.64,0.04476832262445809,forward_2026-06-29_2026-07-04
Lucknow,2026-06-30,2026-06-30T09:19:27Z,1,d1_no,0.9600099999999999,0.03999000000000008,1.0,0.03999000000000008,895.44,0.0416558160852492,forward_2026-06-29_2026-07-04
Lucknow,2026-06-30,2026-06-30T09:56:13Z,1,current_yes,0.95238,0.047619999999999996,1.0,0.047619999999999996,707.26,0.05000105000105,forward_2026-06-29_2026-07-04
Lucknow,2026-07-01,2026-07-01T08:37:18Z,2,"current_yes,d1_no",1.94292,0.05708000000000002,2.0,0.02854000000000001,1780.98,0.029378461285076082,forward_2026-06-29_2026-07-04
Lucknow,2026-07-04,2026-07-04T07:11:44Z,1,d3_no,0.98764,0.012360000000000038,1.0,0.012360000000000038,2314.44,0.01251468146288125,forward_2026-06-29_2026-07-04
Lucknow,2026-07-04,2026-07-04T07:45:27Z,1,d2_no,0.98098,0.019020000000000037,1.0,0.019020000000000037,2272.81,0.019388774490815344,forward_2026-06-29_2026-07-04
Lucknow,2026-07-04,2026-07-04T10:16:58Z,2,"current_yes,d1_no",1.9143,0.0857,2.0,0.03808,1056.06,0.044768322624458026,forward_2026-06-29_2026-07-04
Madrid,2026-06-30,2026-06-30T10:39:09Z,1,d3_no,0.9847899999999999,0.015210000000000057,1.0,0.015210000000000057,8517.96,0.015444917190467061,forward_2026-06-29_2026-07-04
Manila,2026-06-30,2026-06-30T07:26:03Z,2,"current_yes,d1_no",1.94292,0.05708000000000002,2.0,0.02854000000000001,1810.02,0.029378461285076082,forward_2026-06-29_2026-07-04
Manila,2026-07-04,2026-07-04T07:45:27Z,2,"current_yes,d1_no",1.95339,0.04661000000000004,2.0,0.02188000000000001,3768.26,0.02386108252832258,forward_2026-06-29_2026-07-04
Miami,2026-06-30,2026-06-30T07:26:03Z,1,d3_no,0.98098,0.019020000000000037,1.0,0.019020000000000037,4294.66,0.019388774490815344,forward_2026-06-29_2026-07-04
Miami,2026-07-01,2026-07-01T07:15:54Z,1,d3_no,0.97146,0.02854000000000001,1.0,0.02854000000000001,2479.92,0.029378461285076082,forward_2026-06-29_2026-07-04
Miami,2026-07-04,2026-07-04T10:33:47Z,1,d3_no,0.97146,0.02854000000000001,1.0,0.02854000000000001,835.86,0.029378461285076082,forward_2026-06-29_2026-07-04
Milan,2026-06-30,2026-06-30T09:56:13Z,1,d2_no,0.96192,0.03808,1.0,0.03808,1528.35,0.03958749168330007,forward_2026-06-29_2026-07-04
Milan,2026-07-01,2026-07-01T09:55:18Z,1,d3_no,0.97908,0.02092000000000005,1.0,0.02092000000000005,1264.82,0.021366997589573937,forward_2026-06-29_2026-07-04
Milan,2026-07-01,2026-07-01T10:32:16Z,1,d2_no,0.96192,0.03808,1.0,0.03808,843.09,0.03958749168330007,forward_2026-06-29_2026-07-04
Moscow,2026-07-01,2026-07-01T07:56:37Z,1,d1_no,0.96192,0.03808,1.0,0.03808,347.72,0.03958749168330007,forward_2026-06-29_2026-07-04
Moscow,2026-07-01,2026-07-01T10:32:16Z,1,d3_no,0.98288,0.017120000000000024,1.0,0.017120000000000024,1233.6,0.017418199576754053,forward_2026-06-29_2026-07-04
Moscow,2026-07-04,2026-07-04T07:11:44Z,1,d2_no,0.98193,0.01807000000000003,1.0,0.01807000000000003,2640.42,0.01840253378550409,forward_2026-06-29_2026-07-04
Moscow,2026-07-04,2026-07-04T08:52:35Z,1,d1_no,0.95238,0.047619999999999996,1.0,0.047619999999999996,828.5,0.05000105000105,forward_2026-06-29_2026-07-04
Moscow,2026-07-04,2026-07-04T09:26:13Z,1,current_yes,0.97241,0.027590000000000003,1.0,0.027590000000000003,1137.48,0.02837280570952582,forward_2026-06-29_2026-07-04
Munich,2026-06-30,2026-06-30T09:19:27Z,1,d3_no,0.9704999999999999,0.02950000000000008,1.0,0.02950000000000008,1670.6,0.03039670273055135,forward_2026-06-29_2026-07-04
Munich,2026-06-30,2026-06-30T10:39:09Z,1,d2_no,0.9590599999999999,0.04094000000000009,1.0,0.04094000000000009,2546.08,0.04268763163931359,forward_2026-06-29_2026-07-04
Munich,2026-07-01,2026-07-01T07:15:54Z,1,d2_no,0.97812,0.02188000000000001,1.0,0.02188000000000001,4018.02,0.022369443422075013,forward_2026-06-29_2026-07-04
Munich,2026-07-01,2026-07-01T08:37:18Z,1,d1_no,0.9704999999999999,0.02950000000000008,1.0,0.02950000000000008,2620.19,0.03039670273055135,forward_2026-06-29_2026-07-04
Munich,2026-07-01,2026-07-01T09:18:21Z,1,current_yes,0.98098,0.019020000000000037,1.0,0.019020000000000037,4555.95,0.019388774490815344,forward_2026-06-29_2026-07-04
NYC,2026-06-30,2026-06-30T07:26:03Z,1,d3_no,0.98764,0.012360000000000038,1.0,0.012360000000000038,4029.94,0.01251468146288125,forward_2026-06-29_2026-07-04
