ask_floor,scope,price_mode,policy,rows,dates,cities,opposite_rows,same_bracket_proxy_rows,avg_first_ask,avg_reverse_ask,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_win_rate
0.4,dev_cv,taker,same_bracket_close_only_proxy,438,19,36,66,31,0.6642853881278539,0.711590909090909,317.59551675,-4.595516750000008,-0.014469715432467634,-0.05754581651154301,0.03130685336693757,0.3684210526315789
0.4,dev_cv,taker,same_bracket_close_plus_reverse_proxy,438,19,36,66,31,0.6642853881278539,0.711590909090909,339.76385385000003,-4.763853850000007,-0.014021073154247797,-0.05201266688996785,0.027543460282086756,0.3684210526315789
0.4,verified_forward,gross,add_first_opposite_hold_both,163,12,36,15,4,0.662116564417178,0.6439999999999999,117.58500000000001,13.414999999999997,0.11408768125186032,0.015459907758315813,0.2285306000336356,0.75
0.4,verified_forward,gross,first_only_hold,163,12,36,15,4,0.662116564417178,0.6439999999999999,107.92500000000001,12.075,0.11188325225851284,0.010300461449057477,0.23779009220403938,0.5833333333333334
0.4,verified_forward,gross,replace_with_first_opposite_hold,163,12,36,15,4,0.662116564417178,0.6439999999999999,107.82399999999998,14.175999999999998,0.1314735123905624,0.016270440167715037,0.26434964418565876,0.6666666666666666
0.4,verified_forward,gross,same_bracket_close_only_proxy,163,12,36,15,4,0.662116564417178,0.6439999999999999,110.535,12.464999999999996,0.11276971095128237,0.00738232657890982,0.23801372033228568,0.6666666666666666
0.4,verified_forward,gross,same_bracket_close_plus_reverse_proxy,163,12,36,15,4,0.662116564417178,0.6439999999999999,113.14500000000001,13.854999999999997,0.12245348888594278,0.018562753834010324,0.2425829551777008,0.6666666666666666
0.4,verified_forward,taker,add_first_opposite_hold_both,163,12,36,15,4,0.662116564417178,0.6439999999999999,119.41964335,11.580356649999995,0.09697195808950634,0.0004304552692444342,0.2093520589651586,0.6666666666666666
0.4,verified_forward,taker,first_only_hold,163,12,36,15,4,0.662116564417178,0.6439999999999999,109.60186454999999,10.398135449999996,0.09487188464076178,-0.00463307979261026,0.21764897557282653,0.5833333333333334
0.4,verified_forward,taker,replace_with_first_opposite_hold,163,12,36,15,4,0.662116564417178,0.6439999999999999,109.4993934,12.500606599999998,0.11416142329058782,0.0005919165458682131,0.24469987796995346,0.6666666666666666
0.4,verified_forward,taker,same_bracket_close_only_proxy,163,12,36,15,4,0.662116564417178,0.6439999999999999,112.25482955,10.745170449999996,0.09572123081986361,-0.007947768632162393,0.21846133629376369,0.6666666666666666
0.4,verified_forward,taker,same_bracket_close_plus_reverse_proxy,163,12,36,15,4,0.662116564417178,0.6439999999999999,114.90779455,12.092205449999994,0.1052339878017439,0.00305088518564553,0.22323236580230074,0.6666666666666666
