ask_floor,scope,city,target_date,first_hour,first_expression,first_side,first_ask,first_p_win,first_model_edge,first_win,first_cost_gross,first_pnl_gross,first_cost_taker,first_pnl_taker,has_opposite,reverse_hour,reverse_expression,reverse_side,reverse_ask,reverse_p_win,reverse_model_edge,reverse_win,same_bracket_proxy,transition,replace_cost_gross,replace_pnl_gross,replace_cost_taker,replace_pnl_taker,add_cost_gross,add_pnl_gross,add_cost_taker,add_pnl_taker,close_only_cost_gross,close_only_pnl_gross,close_only_cost_taker,close_only_pnl_taker,close_plus_reverse_cost_gross,close_plus_reverse_pnl_gross,close_plus_reverse_cost_taker,close_plus_reverse_pnl_taker
0.0,dev_cv,Warsaw,2026-06-09,13.0,d1_no,NO,0.76,0.8002189102385026,0.0402189102385025,1.0,0.76,0.24,0.76912,0.23088,True,15.0,current_yes,YES,0.77,0.797634718397201,0.0276347183972009,1.0,True,d1_no->current_yes,0.77,0.2299999999999999,0.778855,0.2211449999999999,1.53,0.46999999999999986,1.547975,0.4520249999999999,1.53,-0.53,1.547975,-0.547975,2.3,-0.30000000000000016,2.32683,-0.32683000000000006
0.0,dev_cv,Warsaw,2026-06-10,10.0,d1_no,NO,0.58,0.6457333772424462,0.0657333772424462,1.0,0.58,0.42,0.5921799999999999,0.40781999999999996,True,11.0,current_yes,YES,0.39,0.4491827448641198,0.0591827448641197,0.0,True,d1_no->current_yes,0.39,-0.39,0.401895,-0.401895,0.97,0.02999999999999997,0.9940749999999999,0.005924999999999958,0.97,0.030000000000000027,0.9940749999999999,0.005925000000000026,1.3599999999999999,-0.36,1.39597,-0.39597
0.0,dev_cv,Warsaw,2026-06-11,13.0,d1_no,NO,0.6,0.6208223465079389,0.0208223465079389,0.0,0.6,-0.6,0.612,-0.612,True,15.0,current_yes,YES,0.399,0.4270362820193765,0.0280362820193764,0.0,True,d1_no->current_yes,0.399,-0.399,0.41098995000000005,-0.41098995000000005,0.999,-0.999,1.02298995,-1.02298995,0.999,0.0010000000000000009,1.02298995,-0.022989950000000002,1.3980000000000001,-0.398,1.4339799000000002,-0.43397990000000003
0.0,dev_cv,Warsaw,2026-06-12,11.0,d1_no,NO,0.88,0.9004112452841625,0.0204112452841624,1.0,0.88,0.12,0.88528,0.11471999999999999,False,,,,,,,,False,,0.88,0.12,0.88528,0.11471999999999999,0.88,0.12,0.88528,0.11471999999999999,0.88,0.12,0.88528,0.11471999999999999,0.88,0.12,0.88528,0.11471999999999999
0.0,dev_cv,Warsaw,2026-06-13,14.0,d2_no,NO,0.844,0.8877577564280092,0.0437577564280092,1.0,0.844,0.156,0.8505832,0.1494168,False,,,,,,,,False,,0.844,0.156,0.8505832,0.1494168,0.844,0.156,0.8505832,0.1494168,0.844,0.156,0.8505832,0.1494168,0.844,0.156,0.8505832,0.1494168
0.0,dev_cv,Warsaw,2026-06-14,12.0,d1_no,NO,0.67,0.7256719877497263,0.0556719877497262,1.0,0.67,0.3299999999999999,0.6810550000000001,0.3189449999999999,False,,,,,,,,False,,0.67,0.3299999999999999,0.6810550000000001,0.3189449999999999,0.67,0.3299999999999999,0.6810550000000001,0.3189449999999999,0.67,0.3299999999999999,0.6810550000000001,0.3189449999999999,0.67,0.3299999999999999,0.6810550000000001,0.3189449999999999
0.0,dev_cv,Warsaw,2026-06-17,16.0,current_yes,YES,0.01,0.0410248010484591,0.0310248010484591,0.0,0.01,-0.01,0.010495,-0.010495,False,,,,,,,,False,,0.01,-0.01,0.010495,-0.010495,0.01,-0.01,0.010495,-0.010495,0.01,-0.01,0.010495,-0.010495,0.01,-0.01,0.010495,-0.010495
0.0,dev_cv,Warsaw,2026-06-19,12.0,d2_no,NO,0.78,0.8353119635920779,0.0553119635920779,1.0,0.78,0.2199999999999999,0.7885800000000001,0.21141999999999989,False,,,,,,,,False,,0.78,0.2199999999999999,0.7885800000000001,0.21141999999999989,0.78,0.2199999999999999,0.7885800000000001,0.21141999999999989,0.78,0.2199999999999999,0.7885800000000001,0.21141999999999989,0.78,0.2199999999999999,0.7885800000000001,0.21141999999999989
0.0,dev_cv,Warsaw,2026-06-20,17.0,current_no,NO,0.2,0.2651904417757798,0.0651904417757797,0.0,0.2,-0.2,0.20800000000000002,-0.20800000000000002,False,,,,,,,,False,,0.2,-0.2,0.20800000000000002,-0.20800000000000002,0.2,-0.2,0.20800000000000002,-0.20800000000000002,0.2,-0.2,0.20800000000000002,-0.20800000000000002,0.2,-0.2,0.20800000000000002,-0.20800000000000002
0.0,dev_cv,Wellington,2026-06-03,10.0,d1_no,NO,0.85,0.8781606114452516,0.0281606114452516,1.0,0.85,0.15,0.856375,0.143625,False,,,,,,,,False,,0.85,0.15,0.856375,0.143625,0.85,0.15,0.856375,0.143625,0.85,0.15,0.856375,0.143625,0.85,0.15,0.856375,0.143625
0.0,dev_cv,Wellington,2026-06-04,10.0,d1_no,NO,0.62,0.6768808921445069,0.0568808921445068,1.0,0.62,0.38,0.63178,0.36822,True,21.0,current_yes,YES,0.89,0.9392428373781476,0.0492428373781476,0.0,True,d1_no->current_yes,0.89,-0.89,0.894895,-0.894895,1.51,-0.51,1.526675,-0.526675,1.51,-0.51,1.526675,-0.526675,2.4,-1.4,2.42157,-1.42157
0.0,dev_cv,Wellington,2026-06-05,10.0,current_yes,YES,0.92,0.9491125868181524,0.0291125868181524,1.0,0.92,0.0799999999999999,0.9236800000000001,0.0763199999999999,False,,,,,,,,False,,0.92,0.0799999999999999,0.9236800000000001,0.0763199999999999,0.92,0.0799999999999999,0.9236800000000001,0.0763199999999999,0.92,0.0799999999999999,0.9236800000000001,0.0763199999999999,0.92,0.0799999999999999,0.9236800000000001,0.0763199999999999
