label,period,rows,dates,cities,win_rate,avg_entry,avg_cost,stop_hit_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,top5_removed_roi,avg_shares,slice_type,slice_value,expression
selected_yes,full,109,46,28,0.1559633027522936,0.09843119266055046,0.822379047706422,0.0,89.6393162,46.3606838,0.5171914040102863,-0.13435970905068176,1.196417526878824,32,32,-6.3414,-1.0,0.1039619734778425,8.0,raw_dist_band,>1,selected_yes
two_hotter_yes,full,90,40,24,0.1,0.08295555555555556,0.686069157777778,0.0,61.746224200000015,10.253775799999998,0.1660632035861392,-0.33516260654221697,0.6689174968343873,31,31,-3.7024737999999995,-1.0,-0.3929108642154217,8.0,raw_dist_band,>1,two_hotter_yes
higher_plus_yes,full,94,43,28,0.0425531914893617,0.05851595744680851,0.479306960638298,0.0,45.05485430000001,-13.054854299999995,-0.28975466690167484,-0.6846025108371699,-0.031294122971355205,40,39,-6.24134,-1.0,-1.0,8.0,adj_dist_band,-0.5..0,higher_plus_yes
next_hotter_yes,full,116,48,31,0.25862068965517243,0.23412068965517244,1.9310342017241378,0.0,223.99996739999997,16.000032600000008,0.07142872735971662,-0.2102725452041607,0.37240416342647736,27,25,-8.47063,-1.0,-0.0797598473015699,8.0,adj_dist_band,-0.5..0,next_hotter_yes
selected_plus_next_basket,full,116,48,31,0.3879310344827586,0.17765553259698275,1.421244260775862,0.0,164.86433424999998,15.135665749999996,0.09180679265078824,-0.08428733462503299,0.26747969279699196,24,16,-3.7713099999999997,-1.0,-0.009171411310000295,8.0,adj_dist_band,-0.5..0,selected_plus_next_basket
selected_yes,full,116,48,31,0.12931034482758622,0.1091594827586207,0.9114543198275863,0.0,105.72870110000001,14.271298900000003,0.13498036721837683,-0.36631848795971816,0.66402566439522,34,34,-5.369373100000001,-1.0,-0.21612562456966836,8.0,adj_dist_band,-0.5..0,selected_yes
two_hotter_yes,full,110,47,31,0.21818181818181817,0.24428181818181818,2.014996827272727,0.0,221.649651,-29.649651,-0.13376809242077262,-0.39007969914053237,0.11526014228588956,30,27,-9.3308671,-1.0,-0.2764926300945147,8.0,adj_dist_band,-0.5..0,two_hotter_yes
higher_plus_yes,full,89,43,32,0.011235955056179775,0.026617977528089885,0.22046686516853933,0.0,19.621551,-11.621551,-0.5922850339404871,-1.0,0.00539757076817012,42,42,-3.4313431,-1.0,-1.0,8.0,adj_dist_band,0..0.5,higher_plus_yes
next_hotter_yes,full,114,47,33,0.14912280701754385,0.1345043859649123,1.1120459429824563,0.0,126.77323750000001,9.226762499999992,0.07278162711589654,-0.32293331821633037,0.4970909963698603,35,34,-8.448786400000001,-1.0,-0.2089934126751173,8.0,adj_dist_band,0..0.5,next_hotter_yes
selected_plus_next_basket,full,114,47,33,0.32456140350877194,0.1277282565241228,1.0218260521929825,0.0,116.48816995,31.511830049999997,0.27051528119572793,-0.034833794689591885,0.6095558526772333,23,20,-5.830408200000001,-1.0,0.1219792974930776,8.0,adj_dist_band,0..0.5,selected_plus_next_basket
selected_yes,full,128,49,38,0.171875,0.11317578125000001,0.94488857421875,0.0,120.9457375,55.05426250000001,0.45519803870723435,-0.13273375463790124,1.1393954895341158,31,31,-6.3914416,-1.0,0.1639314659488477,8.0,adj_dist_band,0..0.5,selected_yes
two_hotter_yes,full,108,46,33,0.12962962962962962,0.1335833333333333,1.1025758814814817,0.0,119.07819520000002,-7.078195200000001,-0.059441572725482485,-0.49129353848597984,0.4097486487002707,36,35,-10.4201245,-1.0,-0.3447389843417672,8.0,adj_dist_band,0..0.5,two_hotter_yes
higher_plus_yes,full,38,26,20,0.02631578947368421,0.023499999999999993,0.19281715263157895,0.0,7.3270518,0.6729481999999997,0.09184433498886956,-1.0,0.37385899944558926,25,25,-0.5818679000000001,-1.0,-1.0,8.0,adj_dist_band,0.5..1,higher_plus_yes
next_hotter_yes,full,44,30,20,0.0,0.05498863636363637,0.4564661113636364,0.0,20.084508900000003,-20.084508900000003,-1.0,-1.0,-1.0,30,30,-3.61856,-1.0,-1.0,8.0,adj_dist_band,0.5..1,next_hotter_yes
selected_plus_next_basket,full,44,30,20,0.13636363636363635,0.07157303920454544,0.5725843136363635,0.0,25.193709799999997,-1.1937097999999993,-0.04738126339773904,-0.6954204219213705,0.8272363322943929,24,24,-3.1099577,-1.0,-0.8280595411927042,8.0,adj_dist_band,0.5..1,selected_plus_next_basket
selected_yes,full,53,33,24,0.1320754716981132,0.08417924528301889,0.7038676849056605,0.0,37.30498730000001,18.6950127,0.501139768515616,-0.42531207014270006,1.6597393994843068,26,26,-3.0133416,-1.0,-0.5347139212681633,8.0,adj_dist_band,0.5..1,selected_yes
two_hotter_yes,full,40,28,20,0.1,0.0560625,0.46181194249999996,0.0,18.4724777,13.527522300000001,0.7323068686124332,-0.2177673352033811,1.4140299998371457,24,24,-2.6231084,-1.0,-1.0,8.0,adj_dist_band,0.5..1,two_hotter_yes
higher_plus_yes,full,23,17,11,0.043478260869565216,0.0573478260869565,0.469962852173913,0.0,10.809145599999999,-2.8091455999999995,-0.259885998760161,-1.0,5.108075250880022,16,16,-6.03599,-1.0,-1.0,8.0,adj_dist_band,<-0.5,higher_plus_yes
next_hotter_yes,full,30,23,13,0.2,0.24574999999999997,2.0289124033333334,0.0,60.867372100000004,-12.867372100000003,-0.21140015834526232,-0.7405379392352262,0.2672288888692586,18,18,-4.67903,-1.0,-0.8221264555011386,8.0,adj_dist_band,<-0.5,next_hotter_yes
selected_plus_next_basket,full,30,23,13,0.3333333333333333,0.17237782750000002,1.3790226200000002,0.0,41.370678600000005,-1.3706785999999984,-0.03313164411086064,-0.469705158663605,0.4283252716388785,14,14,-2.66839,-1.0,-0.4388391978036863,8.0,adj_dist_band,<-0.5,selected_plus_next_basket
selected_yes,full,30,23,13,0.13333333333333333,0.08721666666666669,0.7291328366666666,0.0,21.8739851,10.1260149,0.46292501589022295,-0.6793424773392668,2.1676677168176064,19,19,-3.0802516000000004,-1.0,-1.0,8.0,adj_dist_band,<-0.5,selected_yes
two_hotter_yes,full,29,23,13,0.27586206896551724,0.3017241379310344,2.484080951724138,0.0,72.0383476,-8.038347599999994,-0.111584286255894,-0.5610324472339667,0.39962765165386843,16,15,-7.1546199999999995,-1.0,-0.5823857085039438,8.0,adj_dist_band,<-0.5,two_hotter_yes
higher_plus_yes,full,2,2,2,0.0,0.00275,0.02309635,0.0,0.0461927,-0.0461927,-1.0,,,2,2,-0.0335936,-1.0,,8.0,adj_dist_band,>1,higher_plus_yes
next_hotter_yes,full,3,3,2,0.0,0.009666666666666667,0.08115766666666667,0.0,0.24347300000000002,-0.24347300000000002,-1.0,-1.0,-1.0,3,3,-0.1133271,-1.0,,8.0,adj_dist_band,>1,next_hotter_yes
selected_plus_next_basket,full,3,3,2,0.0,0.03935156875,0.31481255,0.0,0.94443765,-0.94443765,-1.0,-1.0,-1.0,3,3,-0.35586789999999996,-1.0,,8.0,adj_dist_band,>1,selected_plus_next_basket
selected_yes,full,6,6,5,0.3333333333333333,0.07191666666666667,0.60193525,0.0,3.6116115,12.3883885,3.4301553475505324,-1.0,9.002935861675402,4,4,-0.87759,-1.0,-1.0,8.0,adj_dist_band,>1,selected_yes
two_hotter_yes,full,3,3,2,0.0,0.004,0.033593333333333336,0.0,0.10078000000000001,-0.10078000000000001,-1.0,-1.0,-1.0,3,3,-0.04199,-1.0,,8.0,adj_dist_band,>1,two_hotter_yes
