profile,period,expression,rows,active_dates,cities,avg_cost,cost,pnl,roi,win_rate,current_hit_rate,d1_hit_rate,d2_hit_rate,skip_over_rate,excess_roi_vs_current_yes,ci95,reps
d2_tail_carry,all,d2_no,1276,26,36,0.9909874608150471,1264.5,-2.499999999999995,-0.001977066034005532,0.9890282131661442,0.9122257053291536,0.07366771159874608,0.0109717868338558,0.003134796238244514,-0.003721057322912406,"[-0.018947536112024998, 0.01162487741721747]",3000
d2_tail_carry,all,no_ladder,1276,26,36,1.9223032915360505,2452.8590000000004,-8.858999999999988,-0.0036117037302184863,0.9169278996865203,0.9122257053291536,0.07366771159874608,0.0109717868338558,0.003134796238244514,-0.005171510001779398,"[-0.014150290088736805, 0.0034380963531061024]",3000
two_leg_ladder_high_carry,train,current_yes,533,13,36,0.9434484052532834,502.85800000000006,4.142000000000004,0.008236917777981067,0.9512195121951219,0.9512195121951219,0.04127579737335835,0.0075046904315197,0.0,0.0,"[0.0, 0.0]",0
two_leg_ladder_high_carry,train,d1_no,535,13,36,0.9632691588785047,515.349,-2.3489999999999966,-0.004558076177503006,0.9588785046728971,0.9514018691588785,0.041121495327102804,0.007476635514018692,0.0,-0.012816630294368483,"[-0.031232739257058422, 0.002554110089053315]",3000
two_leg_ladder_high_carry,train,d2_no,535,13,36,0.9925887850467286,531.0349999999999,-0.034999999999998255,-6.59090267119837e-05,0.9925233644859813,0.9514018691588785,0.041121495327102804,0.007476635514018692,0.0,-0.008306856175484453,"[-0.02305361786773289, 0.007772681781611876]",3000
two_leg_ladder_high_carry,train,no_ladder,535,13,36,1.9558579439252337,1046.384,-2.3839999999999932,-0.0022783222985060868,0.9514018691588785,0.9514018691588785,0.041121495327102804,0.007476635514018692,0.0,-0.010527811379979551,"[-0.024895007810028263, 0.0021704937130960166]",3000
two_leg_ladder_high_carry,holdout,current_yes,667,13,36,0.953151424287856,635.752,-0.7519999999999942,-0.0011828511746718757,0.952023988005997,0.952023988005997,0.04047976011994003,0.004497751124437781,0.0029985007496251873,0.0,"[0.0, 0.0]",0
two_leg_ladder_high_carry,holdout,d1_no,669,13,36,0.963813153961136,644.7909999999999,-2.790999999999996,-0.004328534362297235,0.9596412556053812,0.9491778774289985,0.04035874439461883,0.004484304932735426,0.005979073243647235,-0.0031699937315039298,"[-0.007940080311534446, 0.002473912178253069]",3000
two_leg_ladder_high_carry,holdout,d2_no,669,13,36,0.9948938714499251,665.584,0.4160000000000019,0.000625015024399628,0.9955156950672646,0.9491778774289985,0.04035874439461883,0.004484304932735426,0.005979073243647235,0.0015564847004465663,"[-0.016466610803471404, 0.02022699241345819]",3000
two_leg_ladder_high_carry,holdout,no_ladder,669,13,36,1.9587070254110612,1310.375,-2.374999999999994,-0.0018124582657636126,0.9551569506726457,0.9491778774289985,0.04035874439461883,0.004484304932735426,0.005979073243647235,-0.0007688536969365529,"[-0.009627885288397517, 0.008149227295528694]",3000
two_leg_ladder_high_carry,new_2026_06_10_14,current_yes,217,4,33,0.951110599078341,206.391,1.6090000000000022,0.007795882572399001,0.9585253456221198,0.9585253456221198,0.041474654377880185,0.0,0.0,0.0,"[0.0, 0.0]",0
two_leg_ladder_high_carry,new_2026_06_10_14,d1_no,217,4,33,0.9604055299539171,208.40800000000002,-0.40799999999999814,-0.001957698360907442,0.9585253456221198,0.9585253456221198,0.041474654377880185,0.0,0.0,-0.009753580933306444,"[-0.016313419559282383, -0.006547252679395066]",3000
two_leg_ladder_high_carry,new_2026_06_10_14,d2_no,217,4,33,0.9955714285714288,216.03900000000004,0.9610000000000007,0.004448270914047929,1.0,0.9585253456221198,0.041474654377880185,0.0,0.0,-0.0033476116583510684,"[-0.028829137044252006, 0.02517984845615566]",3000
two_leg_ladder_high_carry,new_2026_06_10_14,no_ladder,217,4,33,1.955976958525346,424.44700000000006,0.5530000000000022,0.0013028717366361457,0.9585253456221198,0.9585253456221198,0.041474654377880185,0.0,0.0,-0.0064930108357628535,"[-0.0181242669627409, 0.0049434728545481085]",3000
two_leg_ladder_high_carry,all,current_yes,1200,26,36,0.9488416666666666,1138.61,3.39000000000001,0.0029773144448055175,0.9516666666666667,0.9516666666666667,0.04083333333333333,0.005833333333333334,0.0016666666666666668,0.0,"[0.0, 0.0]",0
two_leg_ladder_high_carry,all,d1_no,1204,26,36,0.9635714285714284,1160.1399999999999,-5.139999999999992,-0.004430499767269461,0.9593023255813954,0.9501661129568106,0.040697674418604654,0.005813953488372093,0.0033222591362126247,-0.007430892660070151,"[-0.016496660290273486, 0.00023759809630111365]",3000
two_leg_ladder_high_carry,all,d2_no,1204,26,36,0.9938696013289036,1196.619,0.3810000000000042,0.00031839708378356374,0.9941860465116279,0.9501661129568106,0.040697674418604654,0.005813953488372093,0.0033222591362126247,-0.002800418111925181,"[-0.01456721442206117, 0.009804694071165451]",3000
two_leg_ladder_high_carry,all,no_ladder,1204,26,36,1.9574410299003322,2356.759,-4.758999999999988,-0.0020192985366768463,0.9534883720930233,0.9501661129568106,0.040697674418604654,0.005813953488372093,0.0033222591362126247,-0.005079541068071005,"[-0.013294618419614528, 0.0027825279861410676]",3000
