scope,method,edge_threshold,selected_rows,dates,cities,avg_rows_per_date,avg_ask,avg_edge,win_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_win_rate,losing_days,worst_day_pnl,worst_day_roi,current_yes_rows,current_no_rows,d1_no_rows,d2_no_rows
dev_cv,market_recal_blend,0.02,616,19,36,32.421052631578945,0.5794642857142857,0.04305108274973431,0.5665584415584416,356.95,-7.950000000000001,-0.022272026894523046,-0.08561392105526351,0.037015295673031696,0.47368421052631576,10,-6.699000000000001,-0.2334227673438099,112,58,242,204
dev_cv,mkt_boundary_blend,0.02,792,19,36,41.68421052631579,0.5504936868686868,0.04452045603896255,0.5744949494949495,435.991,19.009,0.04359952384338209,-0.006660790172559093,0.08867925837720658,0.6842105263157895,6,-4.661,-0.19699082878999194,160,151,304,177
dev_cv,mkt_city_source_blend,0.02,1098,19,36,57.78947368421053,0.5411930783242259,0.048406672248012546,0.5783242258652095,594.23,40.77,0.068609797553136,0.0055685277465432935,0.12458133751265905,0.6842105263157895,6,-8.615,-0.3010658745413245,253,261,362,222
dev_cv,mkt_meteo_blend,0.02,917,19,36,48.26315789473684,0.5438789531079609,0.044682665453942116,0.5845147219193021,498.7370000000001,37.263000000000005,0.07471472940648077,0.019769134273420277,0.1258036404159214,0.7368421052631579,5,-4.4879999999999995,-0.15754001684919966,232,180,321,184
dev_cv,mkt_path_core_blend,0.02,725,19,36,38.1578947368421,0.5406896551724137,0.045001668198555736,0.5682758620689655,392.0,20.0,0.05102040816326531,-0.013142895143369467,0.11012031776206087,0.6842105263157895,6,-6.551,-0.2563891824194748,154,157,260,154
dev_cv,mkt_regime_blend,0.02,1068,19,36,56.21052631578947,0.537005617977528,0.04669708345384097,0.5749063670411985,573.5219999999999,40.478,0.07057793772514395,0.01587491729849788,0.12142889751527877,0.7368421052631579,5,-6.095,-0.22494925262963647,256,248,359,205
dev_cv,loo_no_city_source_blend,0.05,352,19,36,18.526315789473685,0.49580397727272735,0.07557959174143604,0.5568181818181818,174.52300000000002,21.477,0.12306114380339553,0.000675221855668475,0.229086541210975,0.6842105263157895,6,-5.322,-0.5709075305728385,70,85,138,59
dev_cv,loo_no_regime_blend,0.05,305,19,36,16.05263157894737,0.4885081967213115,0.07697428651436647,0.5508196721311476,148.995,19.005000000000003,0.12755461592670897,0.009546988012172746,0.24107173011968067,0.631578947368421,7,-2.73,-0.3127147766323024,65,74,110,56
dev_cv,market_local_norm,0.05,22,8,15,2.75,0.20954545454545456,0.09399566188115925,0.22727272727272727,4.61,0.38999999999999996,0.0845986984815618,-0.7137192823043931,0.8599159465415638,0.5,4,-0.75,-1.0,3,14,5,0
dev_cv,market_recal_blend,0.05,161,19,34,8.473684210526315,0.47848447204968947,0.07567712341645039,0.4906832298136646,77.036,1.9639999999999997,0.025494573965418762,-0.12826161886392148,0.16984844228613122,0.47368421052631576,10,-2.5700000000000003,-0.5623632385120351,17,16,71,57
dev_cv,mkt_boundary_blend,0.05,240,19,35,12.631578947368421,0.4751875,0.07393914812580199,0.5166666666666667,114.045,9.954999999999998,0.0872901047831996,-0.043742923478443975,0.21751745831529132,0.5789473684210527,8,-3.15,-0.38650306748466257,29,57,102,52
dev_cv,mkt_city_source_blend,0.05,378,19,36,19.894736842105264,0.49225661375661384,0.07839885658402075,0.5661375661375662,186.07300000000004,27.926999999999996,0.15008625646923515,0.03038930217965424,0.2532297787891497,0.7368421052631579,5,-5.25,-0.4666666666666667,86,90,137,65
dev_cv,mkt_meteo_blend,0.05,269,19,36,14.157894736842104,0.49427881040892196,0.07560635777781367,0.5576208178438662,132.961,17.039,0.1281503598799648,0.037246524261435494,0.2137168990196874,0.7368421052631579,5,-1.3539999999999999,-0.40369707811568273,53,65,95,56
