target_date,jma_observation_jst,jma_first_seen_jst,decision_jst,first_seen_latency_seconds,book_after_first_seen_seconds,current_bracket,evaluation_status,not_scorable_reason,captured_brackets,jma_temp_c,jma_running_max_c,jma_slope_60m_cph,minutes_since_jma_strict_high,prior_metar_temp_c,prior_metar_running_max_c,official_last_obs_utc,official_snapshot_fetched_at_utc,no_bid,no_ask,no_mid,fee_per_share,model_p_no_v2,edge_after_fee_v2,would_enter_v2,model_p_no_no_floor,edge_after_fee_no_floor,would_enter_no_floor,final_bracket,no_label,v2_prediction_correct_at_050,availability_clock_class,book_snapshot_id,capture_cycle_id,source_payload_hash
2026-08-01,2026-08-01T15:00:00+09:00,2026-08-01T15:06:54.387388+09:00,2026-08-01T15:08:36.625453+09:00,414.387,102.238,35,scored,,,34.7,34.7,0.7000000000000028,70.0,35.0,35.0,2026-08-01T06:00:00+00:00,2026-08-01T06:08:27.582770+00:00,0.14,0.21,0.175,0.0083,0.14125844719157613,-0.07704155280842387,0,0.14125844719157613,-0.07704155280842387,0,35,0,1,collector_exact_hash_verified,,,36f0bcd0459fbaa6
2026-08-01,2026-08-01T15:10:00+09:00,2026-08-01T15:17:11.673994+09:00,2026-08-01T15:17:36.677482+09:00,431.674,25.003,35,scored,,,34.4,34.7,0.7999999999999972,80.0,35.0,35.0,2026-08-01T06:00:00+00:00,2026-08-01T06:13:44.272333+00:00,0.08,0.13,0.10500000000000001,0.00566,0.08482563658238479,-0.050834363417615214,0,0.08482563658238479,-0.050834363417615214,0,35,0,1,collector_exact_hash_verified,,,3e1b58490a16e530
2026-08-01,2026-08-01T15:20:00+09:00,2026-08-01T15:27:18.677454+09:00,2026-08-01T15:27:36.803308+09:00,438.677,18.126,35,scored,,,34.8,34.8,1.0999999999999943,0.0,35.0,35.0,2026-08-01T06:00:00+00:00,2026-08-01T06:23:59.368084+00:00,0.07,0.11,0.09,0.0049,0.07925882267548064,-0.035641177324519366,0,0.07925882267548064,-0.035641177324519366,0,35,0,1,collector_exact_hash_verified,,,eabddd1b16128989
2026-08-01,2026-08-01T15:30:00+09:00,2026-08-01T15:37:26.670751+09:00,2026-08-01T15:37:36.730109+09:00,446.671,10.059,35,scored,,,35.3,35.3,1.2999999999999972,0.0,35.0,35.0,2026-08-01T06:00:00+00:00,2026-08-01T06:34:44.433050+00:00,0.32,0.35,0.33499999999999996,0.01137,0.2881615014506875,-0.07320849854931251,0,0.2881615014506875,-0.07320849854931251,0,35,0,1,collector_exact_hash_verified,,,4bee35c0e25367ee
2026-08-01,2026-08-01T15:40:00+09:00,2026-08-01T15:47:25.736467+09:00,2026-08-01T15:47:37.076274+09:00,445.736,11.34,35,scored,,,35.3,35.3,1.1999999999999957,10.0,35.0,35.0,2026-08-01T06:30:00+00:00,2026-08-01T06:45:17.380268+00:00,0.1,0.13,0.115,0.00566,0.09094346058559415,-0.044716539414405856,0,0.09094346058559415,-0.044716539414405856,0,35,0,1,collector_exact_hash_verified,,,b04c5e661d608031
2026-08-01,2026-08-01T15:50:00+09:00,2026-08-01T15:56:37.381107+09:00,2026-08-01T15:57:37.011798+09:00,397.381,59.631,35,scored,,,35.2,35.3,0.9000000000000057,20.0,35.0,35.0,2026-08-01T06:30:00+00:00,2026-08-01T06:55:41.121346+00:00,0.14,0.17,0.15500000000000003,0.00706,0.11287229325565308,-0.06418770674434693,0,0.11287229325565308,-0.06418770674434693,0,35,0,1,collector_exact_hash_verified,,,12c6d8f55b1fed38
2026-08-01,2026-08-01T16:00:00+09:00,2026-08-01T16:06:51.203875+09:00,2026-08-01T16:07:37.068872+09:00,411.204,45.865,35,scored,,,35.2,35.3,0.5,30.0,35.0,35.0,2026-08-01T07:00:00+00:00,2026-08-01T07:06:19.442387+00:00,0.05,0.14,0.095,0.00602,0.05980948623252804,-0.08621051376747196,0,0.05980948623252804,-0.08621051376747196,0,35,0,1,collector_exact_hash_verified,,,1baebff5a6d1b1d9
2026-08-01,2026-08-01T16:10:00+09:00,2026-08-01T16:16:54.936644+09:00,2026-08-01T16:17:37.265395+09:00,414.937,42.329,35,scored,,,35.1,35.3,0.7000000000000028,40.0,35.0,35.0,2026-08-01T07:00:00+00:00,2026-08-01T07:16:48.780030+00:00,0.09,0.14,0.115,0.00602,0.07640986704167622,-0.06961013295832379,0,0.07640986704167622,-0.06961013295832379,0,35,0,1,collector_exact_hash_verified,,,e566bff8fdce9e79
2026-08-01,2026-08-01T16:20:00+09:00,2026-08-01T16:27:25.795816+09:00,2026-08-01T16:27:37.331915+09:00,445.796,11.536,35,scored,,,34.7,35.3,-0.09999999999999432,50.0,35.0,35.0,2026-08-01T07:00:00+00:00,2026-08-01T07:27:14.385331+00:00,0.05,0.09,0.07,0.00409,0.03570306250223782,-0.05838693749776218,0,0.03570306250223782,-0.05838693749776218,0,35,0,1,collector_exact_hash_verified,,,97aa56f89e93aef6
2026-08-01,2026-08-01T16:30:00+09:00,2026-08-01T16:37:19.513049+09:00,2026-08-01T16:37:37.471623+09:00,439.513,17.959,35,scored,,,34.5,35.3,-0.7999999999999972,60.0,35.0,35.0,2026-08-01T07:00:00+00:00,2026-08-01T07:32:31.982434+00:00,0.04,0.07,0.05500000000000001,0.00326,0.022301127908827774,-0.05095887209117223,0,0.022301127908827774,-0.05095887209117223,0,35,0,1,collector_exact_hash_verified,,,a4be25ab72adbc3a
2026-08-01,2026-08-01T16:40:00+09:00,2026-08-01T16:47:18.359355+09:00,2026-08-01T16:52:37.613989+09:00,438.359,319.255,35,scored,,,34.3,35.3,-1.0,70.0,35.0,35.0,2026-08-01T07:30:00+00:00,2026-08-01T07:48:08.937166+00:00,0.002,0.02,0.011,0.00098,0.0040334754194030955,-0.01694652458059691,0,0.0040334754194030955,-0.01694652458059691,0,35,0,1,collector_exact_hash_verified,,,ca2e538c4a3e7350
2026-08-01,2026-08-01T16:50:00+09:00,2026-08-01T16:56:42.075554+09:00,2026-08-01T16:57:37.583927+09:00,402.076,55.508,35,scored,,,34.0,35.3,-1.2000000000000028,80.0,35.0,35.0,2026-08-01T07:30:00+00:00,2026-08-01T07:53:25.922457+00:00,0.017,0.021,0.019000000000000003,0.00103,0.006509297578525336,-0.015520702421474665,0,0.006509297578525336,-0.015520702421474665,0,35,0,1,collector_exact_hash_verified,,,c3e582f7cc8c22b8
2026-08-01,2026-08-01T17:00:00+09:00,2026-08-01T17:06:58.873671+09:00,2026-08-01T17:07:37.724666+09:00,418.874,38.851,35,scored,,,33.8,35.3,-1.4000000000000057,90.0,35.0,35.0,2026-08-01T07:30:00+00:00,2026-08-01T08:03:52.125700+00:00,0.002,0.004,0.003,0.0002,0.0015768657869697376,-0.0026231342130302623,0,0.0009448192739178515,-0.0032551807260821487,0,35,0,1,collector_exact_hash_verified,,,1a60691fa63d7daa
2026-08-01,2026-08-01T17:10:00+09:00,2026-08-01T17:16:58.363325+09:00,2026-08-01T17:17:37.765215+09:00,418.363,39.402,35,scored,,,33.4,35.3,-1.7000000000000028,100.0,34.0,35.0,2026-08-01T08:00:00+00:00,2026-08-01T08:14:16.558708+00:00,0.001,0.007,0.004,0.00035,0.0014208975764767899,-0.00592910242352321,0,0.0011359008741318867,-0.0062140991258681135,0,35,0,1,collector_exact_hash_verified,,,a6efde3bd628c9c0
2026-08-01,2026-08-01T17:20:00+09:00,2026-08-01T17:26:46.610071+09:00,2026-08-01T17:27:37.906246+09:00,406.61,51.296,35,scored,,,33.3,35.3,-1.4000000000000057,110.0,34.0,35.0,2026-08-01T08:00:00+00:00,2026-08-01T08:24:45.974687+00:00,0.001,0.002,0.0015,0.0001,0.001539199696947529,-0.0005608003030524711,0,0.0004606383772201013,-0.0016393616227798988,0,35,0,1,collector_exact_hash_verified,,,162e3f7cf41d32d9
2026-08-01,2026-08-01T17:30:00+09:00,2026-08-01T17:37:10.352546+09:00,2026-08-01T17:37:37.963169+09:00,430.353,27.611,35,scored,,,32.9,35.3,-1.6000000000000014,120.0,34.0,35.0,2026-08-01T08:00:00+00:00,2026-08-01T08:35:19.905207+00:00,0.001,0.002,0.0015,0.0001,0.0014301771449431993,-0.0006698228550568008,0,0.00042797830457522233,-0.0016720216954247778,0,35,0,1,collector_exact_hash_verified,,,71abcc8e68e45121
2026-08-01,2026-08-01T17:40:00+09:00,2026-08-01T17:47:21.496456+09:00,2026-08-01T17:47:38.624326+09:00,441.496,17.128,35,scored,,,32.7,35.3,-1.5999999999999943,130.0,33.0,35.0,2026-08-01T08:30:00+00:00,2026-08-01T08:46:07.445061+00:00,0.001,0.002,0.0015,0.0001,0.0014129904796542157,-0.0006870095203457844,0,0.0004228301218151513,-0.001677169878184849,0,35,0,1,collector_exact_hash_verified,,,86a560d90f5c20de
2026-08-01,2026-08-01T17:50:00+09:00,2026-08-01T17:57:25.179768+09:00,2026-08-01T17:58:15.915737+09:00,445.18,50.736,35,scored,,,32.5,35.3,-1.5,140.0,33.0,35.0,2026-08-01T08:30:00+00:00,2026-08-01T08:57:38.567801+00:00,0.001,0.002,0.0015,0.0001,0.0014395172288602445,-0.0006604827711397556,0,0.0004307761337819085,-0.0016692238662180915,0,35,0,1,collector_exact_hash_verified,,,d3159818c5096802
