window,arm,tie_band,capacity,rows,dates,cities,wins,win_rate,avg_ask,avg_calibrated_p,cost_5,pnl_5,roi,roi_ci_low,roi_ci_high,losing_days,le_minus_50pct_days,max_daily_loss_5,daily_pnl_p10,daily_pnl_median,daily_pnl_p90
oos_all,old,0.0,5,205,41,39,26,0.12682926829268293,0.10085853658536587,0.13247744509594978,103.38,22.061625624999998,0.2134032271715999,-0.18882969863783072,0.6424282448700053,19,19,-3.3902375,-3.0378984375,1.2495249999999998,3.0126124999999995
oos_all,source_tiebreak,0.01,5,205,41,40,27,0.13170731707317074,0.10086585365853659,0.13247295907441967,103.3875,27.05313093749999,0.261667328618063,-0.15370345491813533,0.7000018863997188,19,19,-3.3902375,-3.0378984375,1.2495249999999998,3.1740177499999995
oos_all,source_tiebreak,0.02,5,205,41,40,27,0.13170731707317074,0.1011609756097561,0.1324525914592276,103.69,26.737878874999993,0.25786362113029215,-0.1316311942953794,0.6647342586299325,18,18,-3.3902375,-3.0137254374999998,1.6679277499999996,3.0126124999999995
oos_all,source_tiebreak,0.05,5,205,41,42,27,0.13170731707317074,0.10018780487804878,0.1323463789032213,102.6925,27.774724562499998,0.27046497614236675,-0.12516882597638448,0.7076054003905315,18,18,-3.3902375,-2.9204624999999997,1.6158777499999997,3.0126124999999995
oos_all,overshoot_tiebreak,0.01,5,205,41,40,27,0.13170731707317074,0.10086585365853659,0.13247295907441967,103.3875,27.05313093749999,0.261667328618063,-0.15370345491813533,0.7000018863997188,19,19,-3.3902375,-3.0378984375,1.2495249999999998,3.1740177499999995
oos_all,overshoot_tiebreak,0.02,5,205,41,40,26,0.12682926829268293,0.10160000000000001,0.13244916486916977,104.14000000000001,21.269878874999993,0.20424312343960044,-0.18969994974091012,0.6251223933086588,19,19,-3.3902375,-3.0378984375,1.2495249999999998,3.0126124999999995
oos_all,overshoot_tiebreak,0.05,5,205,41,42,26,0.12682926829268293,0.1006268292682927,0.13235497677480904,103.14250000000001,22.306724562499994,0.21627093159948607,-0.18556420804893534,0.6550852972040079,19,19,-3.3902375,-3.0137254374999998,1.3773813124999998,3.0126124999999995
recent_ge_2026_06_21,old,0.0,1,20,20,11,4,0.2,0.10679999999999998,0.14140101845744205,10.68,8.853176249999997,0.8289490870786514,-0.5786643740562454,2.371586912541191,16,16,-0.96269375,-0.7456175,-0.397552,4.117308125
recent_ge_2026_06_21,source_tiebreak,0.01,1,20,20,11,3,0.15,0.10574999999999998,0.14137982734388554,10.575000000000001,3.961803999999999,0.37463867612293134,-1.0441739391197897,1.8921699053807173,17,17,-0.96269375,-0.7642618999999999,-0.43011996875,4.045048124999999
recent_ge_2026_06_21,source_tiebreak,0.02,1,20,20,11,3,0.15,0.10574999999999998,0.14137982734388554,10.575000000000001,3.961803999999999,0.37463867612293134,-1.0441739391197897,1.8921699053807173,17,17,-0.96269375,-0.7642618999999999,-0.43011996875,4.045048124999999
