city,target_date,decision_hour_local,settled,steps,forecast_steps,temp_trend_1h_f,forecast_peak_delta_hours_local,minutes_since_running_max,forecast_gap_native,current_yes_ask,leg,leg_steps,leg_bracket,ask,ask_size,max_future_bid,min_future_ask,city_hot_tail_pct
Ankara,2026-06-23,14,True,2.0,1.0,1.7999999999999972,8.02,40.55,0.6000000000000014,0.09,d2_yes,2,27,0.61,38.8,0.992,0.45,0.6306179775280899
Ankara,2026-06-23,14,True,2.0,1.0,1.7999999999999972,8.02,40.55,0.6000000000000014,0.09,tail_yes,6,31,0.001,60.86,,,0.6306179775280899
Ankara,2026-06-23,14,True,2.0,1.0,1.7999999999999972,8.02,40.55,0.6000000000000014,0.09,current_bracket_no,-1,25,0.931,,0.928,0.986,0.6306179775280899
Busan,2026-06-23,20,True,0.0,,0.0,,428.55,,0.999,current_bracket_no,-1,24,0.002,,,,0.22331460674157302
Guangzhou,2026-06-23,19,True,0.0,,-1.8000000000000114,,270.55,,0.999,current_bracket_no,-1,36,0.004,,,0.004,0.7036516853932584
CapeTown,2026-06-23,13,True,0.0,,-1.8000000000000045,,90.55,,0.97,d1_yes,1,18,0.056,25.0,0.003,0.003,0.324438202247191
CapeTown,2026-06-23,13,True,0.0,,-1.8000000000000045,,90.55,,0.97,d2_yes,2,19,0.02,8.78,0.001,0.005,0.324438202247191
CapeTown,2026-06-23,13,True,0.0,,-1.8000000000000045,,90.55,,0.97,tail_yes,4,21+,0.002,139.7,,0.001,0.324438202247191
CapeTown,2026-06-23,13,True,0.0,,-1.8000000000000045,,90.55,,0.97,current_bracket_no,-1,17,0.05,,0.025,0.004,0.324438202247191
Chengdu,2026-06-23,19,True,0.0,0.0,-1.7999999999999972,7.0,210.55,-0.10000000000000142,0.999,current_bracket_no,-1,30,0.005,,0.001,0.002,0.6264044943820225
Chongqing,2026-06-23,19,True,0.0,,0.0,,210.55,,0.999,d1_yes,1,26,0.002,369.51,0.001,0.002,0.598314606741573
Chongqing,2026-06-23,19,True,0.0,,0.0,,210.55,,0.999,current_bracket_no,-1,25,0.002,,0.001,0.002,0.598314606741573
Lucknow,2026-06-23,17,True,0.0,,0.0,,30.883333333333333,,0.998,d1_yes,1,41,0.007,10.0,0.001,0.004,0.1952247191011236
Lucknow,2026-06-23,17,True,0.0,,0.0,,30.883333333333333,,0.998,current_bracket_no,-1,40,0.007,,0.001,0.004,0.1952247191011236
Ankara,2026-06-23,15,True,,,0.0,8.02,10.883333333333333,0.6000000000000014,0.072,d1_yes,1,30,0.002,64.37,,0.005,0.6306179775280899
Ankara,2026-06-23,15,True,,,0.0,8.02,10.883333333333333,0.6000000000000014,0.072,current_bracket_no,-1,25,0.986,,,,0.6306179775280899
Jeddah,2026-06-23,15,True,0.0,,0.0,,30.683333333333337,,0.771,d1_yes,1,35,0.41,9.12,0.01,0.01,0.4410112359550562
Jeddah,2026-06-23,15,True,0.0,,0.0,,30.683333333333337,,0.771,d2_yes,2,36,0.1,22.5,0.001,0.006,0.4410112359550562
Jeddah,2026-06-23,15,True,0.0,,0.0,,30.683333333333337,,0.771,tail_yes,4,38+,0.005,223.99,,0.005,0.4410112359550562
Jeddah,2026-06-23,15,True,0.0,,0.0,,30.683333333333337,,0.771,current_bracket_no,-1,34,0.349,,0.012,0.009,0.4410112359550562
Karachi,2026-06-23,17,True,0.0,,-1.7999999999999972,,60.68333333333333,,0.999,d1_yes,1,35,0.003,35.0,0.001,0.003,0.5084269662921348
Karachi,2026-06-23,17,True,0.0,,-1.7999999999999972,,60.68333333333333,,0.999,d2_yes,2,36,0.002,442.71,0.001,0.002,0.5084269662921348
Karachi,2026-06-23,17,True,0.0,,-1.7999999999999972,,60.68333333333333,,0.999,current_bracket_no,-1,34,0.002,,0.001,0.002,0.5084269662921348
Munich,2026-06-23,14,True,1.0,,1.7999999999999972,,40.68333333333333,,0.59,d1_yes,1,33,0.347,15.0,0.992,0.944,0.6601123595505618
Munich,2026-06-23,14,True,1.0,,1.7999999999999972,,40.68333333333333,,0.59,d2_yes,2,34,0.056,7.63,0.022,0.008,0.6601123595505618
Munich,2026-06-23,14,True,1.0,,1.7999999999999972,,40.68333333333333,,0.59,tail_yes,4,36,0.004,60.0,0.001,0.004,0.6601123595505618
Munich,2026-06-23,14,True,1.0,,1.7999999999999972,,40.68333333333333,,0.59,current_bracket_no,-1,32,0.42,,0.999,,0.6601123595505618
Wuhan,2026-06-23,20,True,0.0,0.0,-1.8000000000000114,8.0,450.68333333333334,-0.1999999999999993,0.999,d1_yes,1,26,0.004,467.85,,0.004,0.4747191011235955
