target_date,rows,cost,pnl,wins,roi,evidence_layer,scope,model,shadow_variant
2026-06-13,1,0.4672050547190388,0.7008075820785582,1.0,1.5,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,current_gate_size_min_score_p
2026-06-14,2,0.9951679969151428,1.5516285342504166,1.0,1.559162411834193,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,current_gate_size_min_score_p
2026-06-15,2,0.9786653622155921,0.48800130445107454,1.0,0.49863959969554106,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,current_gate_size_min_score_p
2026-06-16,2,0.8272357913803559,0.04833889011841458,1.0,0.05843423437682083,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,current_gate_size_min_score_p
2026-06-17,1,0.4550020420177584,-0.4550020420177584,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,current_gate_size_min_score_p
2026-06-18,1,0.4992400811330015,-0.4992400811330015,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,current_gate_size_min_score_p
2026-06-19,2,0.6533021450542216,0.17485999463197432,1.0,0.2676556260464469,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,current_gate_size_min_score_p
2026-06-20,2,0.6593600000000002,-0.6593600000000002,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,current_gate_size_min_score_p
2026-06-21,2,0.7820360966791586,0.7971126022858694,1.0,1.01927852904838,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,current_gate_size_min_score_p
2026-06-23,1,0.2639999999999999,0.9931428571428568,1.0,3.761904761904762,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,current_gate_size_min_score_p
