policy,friction,period,rows,dates,cities,win_rate_final,avg_entry,tp_hit_rate,tp_then_final_lost,tp_then_final_won,roi,delta_vs_hold,delta_ci_low,delta_ci_high,roi_ci_low,roi_ci_high,top5_removed_roi,daily_win_rate,losing_days,le_minus50pct_days,max_daily_loss_roi,path_coverage
recover_stake_bid_ge_3x,quoted_bidask,holdout_2026_06_21_26,74,6,32,0.16216216216216217,0.1085135135135135,0.33783783783783783,13,12,0.6133279198899119,0.17403767403767398,0.0789859224202658,0.25159751864297314,-0.186342138133582,1.624848363028672,-0.1573768793186892,0.5,3,0,-0.36455463728191,1.0
recover_stake_bid_ge_3x,quoted_bidask,closed_forward_2026_06_27_30,19,3,17,0.15789473684210525,0.0996315789473684,0.21052631578947367,2,2,0.7246461677446628,0.06518871077816603,-0.12521891418563916,0.18089990817263543,-0.2996195723468451,8.090909090909092,-1.0,0.6666666666666666,1,0,-0.2996195723468451,0.8947368421052632
recover_stake_bid_ge_3x,quoted_bidask,recent_ge_2026_06_21,93,9,35,0.16129032258064516,0.1066989247311828,0.3118279569892473,15,14,0.6360703576236781,0.15179971380186053,0.026762006197340284,0.2016231238642707,-0.003336180082874561,3.2339195104669156,-0.06544133129489343,0.5555555555555556,4,0,-0.36455463728191,0.978494623655914
recover_stake_bid_ge_3x,sell_minus_1c,full,476,53,48,0.13655462184873948,0.1050997899159664,0.20168067226890757,48,48,0.3565045473140078,0.09744769575406269,0.050084471212515524,0.10977252473402203,0.04796568942933286,0.8484277753795872,0.19528359362862766,0.5283018867924528,25,14,-1.0,0.8319327731092437
recover_stake_bid_ge_3x,sell_minus_1c,train_le_2026_06_20,383,44,48,0.13054830287206268,0.10471148825065274,0.17493472584856398,33,34,0.2887713547742756,0.08440088096982439,0.04279612236683559,0.10302556991817229,-0.07912902960710158,0.5736745243234277,0.09781822703274867,0.5227272727272727,21,14,-1.0,0.7963446475195822
recover_stake_bid_ge_3x,sell_minus_1c,holdout_2026_06_21_26,74,6,32,0.16216216216216217,0.1085135135135135,0.33783783783783783,13,12,0.6129823986575195,0.17369215280528158,0.07835790742810518,0.25129394527742194,-0.18655917900200258,1.6243659707241092,-0.15758434665163426,0.5,3,0,-0.36483374781247124,1.0
recover_stake_bid_ge_3x,sell_minus_1c,closed_forward_2026_06_27_30,19,3,17,0.15789473684210525,0.0996315789473684,0.21052631578947367,2,2,0.7229493759086156,0.06349191894211881,-0.13042186571598346,0.180807059472378,-0.2997124210471025,8.090909090909092,-0.9999999999999999,0.6666666666666666,1,0,-0.2997124210471025,0.8947368421052632
recover_stake_bid_ge_3x,sell_minus_1c,recent_ge_2026_06_21,93,9,35,0.16129032258064516,0.1066989247311828,0.3118279569892473,15,14,0.63544877035398,0.1511781265321623,0.024866772053539304,0.2012374155619282,-0.005009698352391078,3.233689594269164,-0.06601692292805904,0.5555555555555556,4,0,-0.36483374781247124,0.978494623655914
recover_stake_bid_ge_3x,entry_plus_1c_sell_minus_1c,full,476,53,48,0.13655462184873948,0.1150997899159664,0.16806722689075632,32,48,0.20276662826257463,0.06383425037591145,0.02839585526534887,0.07293240038944312,-0.06567956616826698,0.627720518738261,0.06492867019677694,0.49056603773584906,27,14,-1.0,0.8319327731092437
recover_stake_bid_ge_3x,entry_plus_1c_sell_minus_1c,train_le_2026_06_20,383,44,48,0.13054830287206268,0.11471148825065274,0.14360313315926893,21,34,0.14324490395477504,0.05306928828052938,0.022857281202608288,0.06565990520984301,-0.18161810108789253,0.4095409140097744,-0.02130913065873091,0.4772727272727273,23,14,-1.0,0.7963446475195822
