target_date,knmi_filename,interval_end_utc,created_at_utc,last_modified_at_utc,created_delay_sec,last_modified_delay_sec,revision_lag_after_created_sec
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221740.nc,2026-07-22T17:40:00+00:00,2026-07-22T17:43:42+00:00,2026-07-22T17:53:40+00:00,222.0,820.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221750.nc,2026-07-22T17:50:00+00:00,2026-07-22T17:53:42+00:00,2026-07-22T18:03:40+00:00,222.0,820.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221800.nc,2026-07-22T18:00:00+00:00,2026-07-22T18:03:43+00:00,2026-07-22T18:13:42+00:00,223.0,822.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221810.nc,2026-07-22T18:10:00+00:00,2026-07-22T18:13:45+00:00,2026-07-22T18:23:41+00:00,225.0,821.0,596.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221820.nc,2026-07-22T18:20:00+00:00,2026-07-22T18:23:43+00:00,2026-07-22T18:33:41+00:00,223.0,821.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221830.nc,2026-07-22T18:30:00+00:00,2026-07-22T18:33:43+00:00,2026-07-22T18:43:42+00:00,223.0,822.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221840.nc,2026-07-22T18:40:00+00:00,2026-07-22T18:43:43+00:00,2026-07-22T18:53:41+00:00,223.0,821.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221850.nc,2026-07-22T18:50:00+00:00,2026-07-22T18:53:43+00:00,2026-07-22T19:03:42+00:00,223.0,822.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221900.nc,2026-07-22T19:00:00+00:00,2026-07-22T19:03:43+00:00,2026-07-22T19:13:44+00:00,223.0,824.0,601.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221910.nc,2026-07-22T19:10:00+00:00,2026-07-22T19:13:45+00:00,2026-07-22T19:23:40+00:00,225.0,820.0,595.0
