city,icao,decision_hour_local,city_days,rows,p50_residual_c,p75_residual_c,p90_residual_c,p95_residual_c,p99_residual_c,max_residual_c,residual_ge_0_5c_rate,residual_ge_1_0c_rate,residual_ge_1_5c_rate,bucket_delta_ge_1_rate,avg_obs_count_day,avg_obs_count_to_decision,physical_candidate_v0
BuenosAires,SAEZ,18,771,771,0.0,0.0,0.0,0.0,0.0,2.2222222222222214,0.005188067444876783,0.005188067444876783,0.0012970168612191958,0.005188067444876783,26.219195849546043,20.897535667963684,True
BuenosAires,SAEZ,19,771,771,0.0,0.0,0.0,0.0,0.0,2.2222222222222214,0.005188067444876783,0.005188067444876783,0.0012970168612191958,0.005188067444876783,26.219195849546043,21.93514915693904,True
Houston,KHOU,21,771,771,0.0,0.0,0.0,0.0,0.0,2.2222222222222214,0.00648508430609598,0.0025940337224383916,0.0025940337224383916,0.005188067444876783,28.5810635538262,25.230869001297016,True
LA,KLAX,18,771,771,0.0,0.0,0.0,0.0,0.0,3.333333333333332,0.00648508430609598,0.0025940337224383916,0.0012970168612191958,0.005188067444876783,28.8715953307393,21.84046692607004,True
LA,KLAX,19,771,771,0.0,0.0,0.0,0.0,0.0,1.1111111111111125,0.005188067444876783,0.0025940337224383916,0.0,0.005188067444876783,28.8715953307393,22.993514915693904,True
LA,KLAX,20,771,771,0.0,0.0,0.0,0.0,0.0,1.1111111111111107,0.005188067444876783,0.0012970168612191958,0.0,0.005188067444876783,28.8715953307393,24.156939040207522,True
SanFrancisco,KSFO,18,771,771,0.0,0.0,0.0,0.0,0.0,3.333333333333334,0.007782101167315175,0.005188067444876783,0.0012970168612191958,0.005188067444876783,27.154345006485084,20.63294422827497,True
SanFrancisco,KSFO,19,771,771,0.0,0.0,0.0,0.0,0.0,3.333333333333334,0.00648508430609598,0.0038910505836575876,0.0012970168612191958,0.005188067444876783,27.154345006485084,21.69779507133593,True
Lagos,DNMM,19,732,732,0.0,0.0,0.0,0.0,0.0,6.111111111111107,0.00546448087431694,0.00546448087431694,0.00273224043715847,0.00546448087431694,21.647540983606557,17.99863387978142,True
Busan,RKPK,20,772,772,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,0.006476683937823834,0.006476683937823834,0.0025906735751295338,0.006476683937823834,26.60621761658031,23.29015544041451,True
Tokyo,RJTT,21,772,772,0.0,0.0,0.0,0.0,0.0,2.2222222222222214,0.007772020725388601,0.006476683937823834,0.0012953367875647669,0.006476683937823834,49.94559585492228,44.72279792746114,True
Dallas,KDAL,18,771,771,0.0,0.0,0.0,0.0,0.5555555555555541,0.5555555555555571,0.01297016861219196,0.0,0.0,0.00648508430609598,27.738002594033723,21.229571984435797,True
Houston,KHOU,19,771,771,0.0,0.0,0.0,0.0,0.0,2.2222222222222214,0.007782101167315175,0.0025940337224383916,0.0025940337224383916,0.00648508430609598,28.5810635538262,22.990920881971466,True
Houston,KHOU,20,771,771,0.0,0.0,0.0,0.0,0.0,2.2222222222222214,0.007782101167315175,0.0025940337224383916,0.0025940337224383916,0.00648508430609598,28.5810635538262,24.119325551232166,True
Istanbul,LTFM,19,771,771,0.0,0.0,0.0,0.0,0.0,2.222222222222222,0.009079118028534372,0.00648508430609598,0.0025940337224383916,0.00648508430609598,47.94422827496757,37.95071335927367,True
Munich,EDDM,21,771,771,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,0.007782101167315175,0.00648508430609598,0.0012970168612191958,0.00648508430609598,47.985732814526585,41.985732814526585,True
Busan,RKPK,18,772,772,0.0,0.0,0.0,0.0,0.0,2.7777777777777786,0.007772020725388601,0.007772020725388601,0.0025906735751295338,0.007772020725388601,26.60621761658031,20.981865284974095,True
Busan,RKPK,19,772,772,0.0,0.0,0.0,0.0,0.0,2.7777777777777786,0.007772020725388601,0.007772020725388601,0.0025906735751295338,0.007772020725388601,26.60621761658031,22.126943005181346,True
Seoul,RKSI,19,772,772,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.007772020725388601,0.007772020725388601,0.0025906735751295338,0.007772020725388601,47.91968911917098,38.93523316062176,True
Wellington,NZWN,19,772,772,0.0,0.0,0.0,0.0,0.5555555555555571,1.1111111111111107,0.014248704663212436,0.007772020725388601,0.0,0.007772020725388601,47.92875647668394,38.94041450777202,True
Houston,KHOU,18,771,771,0.0,0.0,0.0,0.0,0.0,2.777777777777777,0.009079118028534372,0.0038910505836575876,0.0025940337224383916,0.007782101167315175,28.5810635538262,21.87289234760052,True
Munich,EDDM,20,771,771,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,0.009079118028534372,0.007782101167315175,0.0025940337224383916,0.007782101167315175,47.985732814526585,39.985732814526585,True
Warsaw,EPWA,21,771,771,0.0,0.0,0.0,0.0,0.5555555555555554,2.2222222222222223,0.011673151750972763,0.007782101167315175,0.0012970168612191958,0.007782101167315175,47.96238651102464,42.96887159533074,True
Lagos,DNMM,18,732,732,0.0,0.0,0.0,0.0,0.0,6.111111111111107,0.00819672131147541,0.00819672131147541,0.00546448087431694,0.00819672131147541,21.647540983606557,17.113387978142075,True
Atlanta,KATL,19,771,771,0.0,0.0,0.0,0.0,0.5555555555555536,1.6666666666666679,0.011673151750972763,0.0038910505836575876,0.0025940337224383916,0.009079118028534372,27.928664072632944,22.46562905317769,True
Atlanta,KATL,20,771,771,0.0,0.0,0.0,0.0,0.16666666666664082,1.6666666666666679,0.010376134889753566,0.0038910505836575876,0.0012970168612191958,0.009079118028534372,27.928664072632944,23.58236057068742,True
Atlanta,KATL,21,771,771,0.0,0.0,0.0,0.0,0.16666666666664082,1.6666666666666679,0.010376134889753566,0.0025940337224383916,0.0012970168612191958,0.009079118028534372,27.928664072632944,24.667963683527887,True
Tokyo,RJTT,20,772,772,0.0,0.0,0.0,0.0,0.7166666666666475,2.2222222222222214,0.011658031088082901,0.010362694300518135,0.0025906735751295338,0.010362694300518135,49.94559585492228,42.64766839378238,True
Atlanta,KATL,18,771,771,0.0,0.0,0.0,0.0,0.5555555555555554,1.6666666666666679,0.014267185473411154,0.0038910505836575876,0.0038910505836575876,0.010376134889753566,27.928664072632944,21.374837872892346,True
Istanbul,LTFM,18,771,771,0.0,0.0,0.0,0.0,0.7222222222221979,2.222222222222222,0.014267185473411154,0.010376134889753566,0.0025940337224383916,0.010376134889753566,47.94422827496757,35.954604409857325,True
Madrid,LEMD,19,771,771,0.0,0.0,0.0,0.0,0.33333333333328163,3.333333333333332,0.010376134889753566,0.010376134889753566,0.0012970168612191958,0.010376134889753566,48.673151750972764,39.543450064850845,True
Seoul,RKSI,18,772,772,0.0,0.0,0.0,0.0,1.1111111111111107,2.7777777777777777,0.011658031088082901,0.011658031088082901,0.0025906735751295338,0.011658031088082901,47.91968911917098,36.939119170984455,True
Tokyo,RJTT,19,772,772,0.0,0.0,0.0,0.0,1.1111111111111107,2.2222222222222214,0.014248704663212436,0.011658031088082901,0.0025906735751295338,0.011658031088082901,49.94559585492228,40.54663212435233,True
Munich,EDDM,19,771,771,0.0,0.0,0.0,0.0,1.1111111111111107,2.7777777777777777,0.014267185473411154,0.011673151750972763,0.0025940337224383916,0.011673151750972763,47.985732814526585,37.985732814526585,True
Seattle,KSEA,21,771,771,0.0,0.0,0.0,0.0,0.5555555555555554,3.333333333333334,0.011673151750972763,0.007782101167315175,0.0038910505836575876,0.011673151750972763,29.2230869001297,25.704280155642024,True
Milan,LIML,18,771,771,0.0,0.0,0.0,0.0,1.1111111111111107,2.7777777777777777,0.016861219195849545,0.01297016861219196,0.0012970168612191958,0.01297016861219196,47.715953307392994,35.760051880674446,True
Seattle,KSEA,20,771,771,0.0,0.0,0.0,0.0,0.5555555555555559,4.444444444444445,0.01556420233463035,0.009079118028534372,0.007782101167315175,0.01297016861219196,29.2230869001297,24.54863813229572,True
Warsaw,EPWA,20,771,771,0.0,0.0,0.0,0.0,1.111111111111111,2.2222222222222223,0.016861219195849545,0.01297016861219196,0.0025940337224383916,0.01297016861219196,47.96238651102464,40.970168612191955,True
Seattle,KSEA,19,771,771,0.0,0.0,0.0,0.0,0.7222222222221979,4.444444444444445,0.019455252918287938,0.010376134889753566,0.007782101167315175,0.014267185473411154,29.2230869001297,23.408560311284045,True
Paris,LFPG,21,771,771,0.0,0.0,0.0,0.0,1.1111111111111114,4.444444444444443,0.019455252918287938,0.01556420233463035,0.0038910505836575876,0.01556420233463035,48.047989623865114,43.03761348897536,True
Wellington,NZWN,18,772,772,0.0,0.0,0.0,0.0,1.1111111111111107,2.2222222222222214,0.023316062176165803,0.01683937823834197,0.0025906735751295338,0.01683937823834197,47.92875647668394,36.943005181347154,True
London,EGLL,21,771,771,0.0,0.0,0.0,0.0,1.1111111111111107,2.2222222222222223,0.019455252918287938,0.018158236057068743,0.0038910505836575876,0.018158236057068743,47.98184176394293,41.98313878080415,True
Warsaw,EPWA,19,771,771,0.0,0.0,0.0,0.0,1.1111111111111112,2.7777777777777786,0.020752269779507133,0.018158236057068743,0.0038910505836575876,0.018158236057068743,47.96238651102464,38.970168612191955,True
Tokyo,RJTT,18,772,772,0.0,0.0,0.0,0.0,1.1111111111111107,3.333333333333332,0.022020725388601035,0.019430051813471502,0.007772020725388601,0.019430051813471502,49.94559585492228,38.43652849740933,True
London,EGLL,19,771,771,0.0,0.0,0.0,0.0,1.833333333333308,3.333333333333332,0.02204928664072633,0.020752269779507133,0.01297016861219196,0.020752269779507133,47.98184176394293,37.98313878080415,True
London,EGLL,20,771,771,0.0,0.0,0.0,0.0,1.833333333333308,2.7777777777777777,0.020752269779507133,0.020752269779507133,0.011673151750972763,0.020752269779507133,47.98184176394293,39.98313878080415,True
NYC,KLGA,21,771,771,0.0,0.0,0.0,0.0,0.5555555555555571,2.777777777777777,0.028534370946822308,0.009079118028534372,0.0038910505836575876,0.020752269779507133,27.40077821011673,24.01686121919585,True
Paris,LFPG,20,771,771,0.0,0.0,0.0,0.0,1.833333333333308,4.444444444444443,0.02464332036316472,0.020752269779507133,0.011673151750972763,0.020752269779507133,48.047989623865114,41.038910505836576,True
