city,decision_snapshot_ts_utc,expression,history_delay_min,history_point_ts_utc,history_price,status,target_date,token_id
Shanghai,2026-07-10T05:20:28Z,d1_no,0.6,2026-07-10T05:21:04Z,0.805,ok,2026-07-10,8175255247952859945004971321715364517826596747941844668625811415802786559456
Shenzhen,2026-07-10T08:07:40Z,current_yes,0.43333333333333335,2026-07-10T08:08:06Z,0.0555,ok,2026-07-10,94861382124841807389012234501269882663731401928718439131960262887143819795896
Shenzhen,2026-07-10T08:07:40Z,d1_no,0.43333333333333335,2026-07-10T08:08:06Z,0.435,ok,2026-07-10,40293778004851647968311724998278002392677468516367198621391136469161859693127
Singapore,2026-07-10T07:37:46Z,current_yes,0.31666666666666665,2026-07-10T07:38:05Z,0.989,ok,2026-07-10,110590908341367958938127820660452615329407520786492774982420206630085609178584
Singapore,2026-07-10T07:37:46Z,d1_no,0.3,2026-07-10T07:38:04Z,0.9945,ok,2026-07-10,30821462386371714146423880862927198947809337070542459600486180651649599124130
Taipei,2026-07-10T05:20:28Z,current_yes,0.6,2026-07-10T05:21:04Z,0.9855,ok,2026-07-10,7734505779755483103231920261081402676595031480325454602822230960654366117878
Taipei,2026-07-10T05:20:28Z,d1_no,0.6,2026-07-10T05:21:04Z,0.9925,ok,2026-07-10,95280811989472132385219954301233298840654115540495282669669689739133625066954
TelAviv,2026-07-10T12:07:47Z,current_yes,0.3,2026-07-10T12:08:05Z,0.9825,ok,2026-07-10,7234156236734301951736496479647915853919775356673250309092726284379920057364
TelAviv,2026-07-10T12:07:47Z,d1_no,0.3,2026-07-10T12:08:05Z,0.9815,ok,2026-07-10,111608554660382171047577063615727829393434629480396521375825643962608306482134
Tokyo,2026-07-10T07:08:37Z,current_yes,0.45,2026-07-10T07:09:04Z,0.995,ok,2026-07-10,17276672810088572557503926592913918192045576869256364870800453825345028336225
Tokyo,2026-07-10T07:08:37Z,d1_no,0.45,2026-07-10T07:09:04Z,0.997,ok,2026-07-10,37311915651724810608673000805882449131841511432940717086047163067851498313957
Warsaw,2026-07-10T13:10:10Z,current_yes,0.8833333333333333,2026-07-10T13:11:03Z,0.77,ok,2026-07-10,28233442493977302117802757395633869435769867708300011944416676320367357314158
Warsaw,2026-07-10T13:10:10Z,d1_no,0.9333333333333333,2026-07-10T13:11:06Z,0.78,ok,2026-07-10,12491474608453488505899024857305649155436026235748577029189353258613257298450
