period,selector,sizing,target_date,rows,wins,cost,pnl,roi
historical,base_edge20_ask01_25,payout25_cap5,2026-06-09,13,0,26.7375,-26.7375,-1.0
historical,base_edge20_ask01_25,payout25_cap5,2026-06-10,9,0,21.025,-21.025,-1.0
historical,base_edge20_ask01_25,payout25_cap5,2026-06-11,20,3,43.3125,28.42663043478261,0.6563146997929606
historical,base_edge20_ask01_25,payout25_cap5,2026-06-12,17,4,39.6,54.79024390243902,1.3835920177383592
historical,base_edge20_ask01_25,payout25_cap5,2026-06-13,18,3,33.8375,41.1625,1.2164758034724787
historical,base_edge20_ask01_25,payout25_cap5,2026-06-14,21,1,48.887499999999996,-23.8875,-0.4886218358476093
historical,base_edge20_ask01_25,payout25_cap5,2026-06-15,20,4,41.525,55.69722222222222,1.341293732022209
historical,base_edge20_ask01_25,payout25_cap5,2026-06-16,24,5,44.9625,78.29331395348837,1.741302506610806
historical,base_edge20_ask01_25,payout25_cap5,2026-06-17,21,1,47.025,-22.025,-0.468367889420521
historical,base_edge20_ask01_25,payout25_cap5,2026-06-18,14,1,24.337500000000002,0.6625000000000003,0.027221366204417063
historical,base_edge20_ask01_25,payout25_cap5,2026-06-19,16,0,40.1125,-40.1125,-1.0
historical,base_edge20_ask01_25,payout25_cap5,2026-06-20,14,2,36.2375,13.762500000000001,0.3797861331493619
historical,base_edge20_ask01_25,payout25_cap5,2026-06-21,19,1,31.8875,-6.8875,-0.2159937279498236
historical,base_edge20_ask01_25,payout25_cap5,2026-06-22,17,1,34.5875,-9.587499999999999,-0.27719551861221536
historical,base_edge20_ask01_25,payout25_cap5,2026-06-23,24,4,52.4,43.00816326530612,0.8207664745287429
