grain,evidence,metric,challenger,baseline,delta,ci_low,ci_high,probability_challenger_better
date_x_entry,active_first_after_source,brier,p_structural_margin_transition_r16,p_frozen_old,-0.025405692467784773,-0.07790572306230023,0.027094338126730684,0.759
date_x_entry,active_first_after_source,logloss,p_structural_margin_transition_r16,p_frozen_old,-0.14719067435896077,-0.47163236725380403,0.07227655540023768,0.8112
date_x_entry,active_first_after_source,brier,p_structural_margin_transition_r16,p_v2_compact_r16,-0.002325915823293558,-0.01178899233715286,0.007137160690565745,0.6834
date_x_entry,active_first_after_source,logloss,p_structural_margin_transition_r16,p_v2_compact_r16,-0.006057284871594313,-0.02611300310869874,0.013998433365510116,0.6886
date_x_entry,active_first_after_source,brier,p_structural_margin_transition_hgb,market_probability,0.03264442421747679,-0.08893663595660925,0.1602987275531643,0.3062
date_x_entry,active_first_after_source,logloss,p_structural_margin_transition_hgb,market_probability,0.10827372335259366,-0.23758603445814297,0.4896037451502865,0.3182
date_x_entry,active_first_after_source,brier,p_structural_margin_transition_hgb,p_frozen_old,-0.007641684004321848,-0.05584310457914921,0.0631965972985315,0.6886
date_x_entry,active_first_after_source,logloss,p_structural_margin_transition_hgb,p_frozen_old,-0.07650992805043594,-0.2164100847332238,0.17116165832153152,0.724
date_x_entry,active_first_after_source,brier,p_structural_margin_transition_hgb,p_v2_compact_r16,0.015438092640169375,-0.08362075541753473,0.11449694069787349,0.3454
date_x_entry,active_first_after_source,logloss,p_structural_margin_transition_hgb,p_v2_compact_r16,0.06462346143693054,-0.2617318636557375,0.39097878652959855,0.3054
date_x_entry,full_ladder_before_source,brier,p_v2_compact_r16,market_probability,-0.03556880356690876,-0.05900944553495952,-0.015570864507932021,1.0
date_x_entry,full_ladder_before_source,logloss,p_v2_compact_r16,market_probability,-0.09478679268644731,-0.1748244301135804,-0.037524760363722875,1.0
date_x_entry,full_ladder_before_source,brier,p_v2_compact_r16,p_frozen_old,0.010196022201192168,-0.010628485461222158,0.029792031707347313,0.1534
date_x_entry,full_ladder_before_source,logloss,p_v2_compact_r16,p_frozen_old,0.04211594749634418,-0.006780801919053424,0.09041486782947332,0.0458
date_x_entry,full_ladder_before_source,brier,p_structural_margin_r16,market_probability,-0.036982632659185825,-0.05925300423774832,-0.016276305008927443,1.0
date_x_entry,full_ladder_before_source,logloss,p_structural_margin_r16,market_probability,-0.09655070763439744,-0.17071315058048164,-0.0396576828044169,1.0
date_x_entry,full_ladder_before_source,brier,p_structural_margin_r16,p_frozen_old,0.008782193108915102,-0.013191158093187334,0.02727121180867252,0.1926
date_x_entry,full_ladder_before_source,logloss,p_structural_margin_r16,p_frozen_old,0.04035203254839408,-0.012861713125133414,0.0888294973521997,0.063
date_x_entry,full_ladder_before_source,brier,p_structural_margin_r16,p_v2_compact_r16,-0.001413829092277067,-0.004170383587568559,0.0012412843010878346,0.836
date_x_entry,full_ladder_before_source,logloss,p_structural_margin_r16,p_v2_compact_r16,-0.0017639149479500953,-0.01054947860420302,0.007526574872663176,0.6434
date_x_entry,full_ladder_before_source,brier,p_structural_margin_transition_r16,market_probability,-0.03864012005352961,-0.060028498320933876,-0.018757531349336203,1.0
date_x_entry,full_ladder_before_source,logloss,p_structural_margin_transition_r16,market_probability,-0.10005626643962513,-0.1691622273124308,-0.045951338389067974,1.0
date_x_entry,full_ladder_before_source,brier,p_structural_margin_transition_r16,p_frozen_old,0.0071247057145713165,-0.013552754648777967,0.02378263671791976,0.2206
date_x_entry,full_ladder_before_source,logloss,p_structural_margin_transition_r16,p_frozen_old,0.03684647374316639,-0.014013842366732322,0.08449275582802214,0.0766
date_x_entry,full_ladder_before_source,brier,p_structural_margin_transition_r16,p_v2_compact_r16,-0.0030713164866208523,-0.007895923601492884,0.0011630856527138922,0.9202
date_x_entry,full_ladder_before_source,logloss,p_structural_margin_transition_r16,p_v2_compact_r16,-0.005269473753177792,-0.019486548207320823,0.008990492877181325,0.7672
date_x_entry,full_ladder_before_source,brier,p_structural_margin_transition_hgb,market_probability,-0.02548270746771372,-0.06303288050983605,0.017509854160257524,0.8846
date_x_entry,full_ladder_before_source,logloss,p_structural_margin_transition_hgb,market_probability,-0.0799489037635076,-0.19485608401148002,0.028517888402984155,0.9226
date_x_entry,full_ladder_before_source,brier,p_structural_margin_transition_hgb,p_frozen_old,0.0202821183003872,-0.008868873768269414,0.07383029275473803,0.329
date_x_entry,full_ladder_before_source,logloss,p_structural_margin_transition_hgb,p_frozen_old,0.05695383641928392,-0.010978271020762565,0.16962633799193738,0.1472
date_x_entry,full_ladder_before_source,brier,p_structural_margin_transition_hgb,p_v2_compact_r16,0.010086096099195039,-0.01918734354278851,0.048687574840064585,0.3026
date_x_entry,full_ladder_before_source,logloss,p_structural_margin_transition_hgb,p_v2_compact_r16,0.014837888922939737,-0.05001559965589522,0.0959065863084822,0.37
