evidence_layer,target_date,city,router_route,router_ask,router_payoff,base_weight,city_bias_soft_weight,city_bias_soft_shares,city_bias_effect,forecast_source,row_forecast_model,city_source_bias_regime,city_source_bias,city_source_hot_underforecast_rate
historical_best_ask_diagnostic,2026-06-21,Manila,capped_d2_no,0.691,1.0,0.19026900000000005,0.12367485000000003,0.8948976121562955,downweight,open_meteo_live_gfs,gfs,hot_underforecast_clean,1.2891,0.6404
historical_best_ask_diagnostic,2026-06-21,Singapore,capped_d2_no,0.51,0.0,0.328104,0.2132676,2.0908588235294117,downweight,open_meteo_live_gfs,gfs,hot_underforecast_clean,0.8289,0.4073
historical_best_ask_diagnostic,2026-06-23,Wellington,capped_d2_no,0.62,1.0,0.2817,0.18310500000000002,1.4766532258064518,downweight,open_meteo_live_gfs,gfs,hot_underforecast_clean,1.181,0.6096
historical_best_ask_diagnostic,2026-06-24,Ankara,capped_d2_no,0.69,0.0,0.21240000000000003,0.13806000000000002,1.000434782608696,downweight,open_meteo_live_ecmwf,ecmwf,hot_underforecast_clean,0.8271,0.4438
historical_best_ask_diagnostic,2026-06-25,Manila,capped_d2_no,0.67,1.0,0.195048,0.1267812,0.9461283582089552,downweight,open_meteo_live_gfs,gfs,hot_underforecast_clean,1.2891,0.6404
frozen_live_like_route_price,2026-05-20,Singapore,capped_d2_no,0.62,0.0,0.23662800000000003,0.15380820000000003,1.2403887096774198,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.8289,0.4073
frozen_live_like_route_price,2026-05-21,Jeddah,capped_d2_no,0.6,1.0,0.30150000000000005,0.19597500000000004,1.6331250000000004,downweight,gfs_seamless,gfs,hot_underforecast_clean,1.4971,0.6966
frozen_live_like_route_price,2026-05-21,Manila,capped_d2_no,0.6,0.0,0.27135000000000004,0.17637750000000002,1.4698125000000004,downweight,gfs_seamless,gfs,hot_underforecast_clean,1.2891,0.6404
frozen_live_like_route_price,2026-05-21,Munich,capped_d2_no,0.56,0.0,0.34109999999999996,0.25582499999999997,2.2841517857142852,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197
frozen_live_like_route_price,2026-05-22,Manila,capped_d2_no,0.58,0.0,0.28917000000000004,0.18796050000000003,1.6203491379310349,downweight,gfs_seamless,gfs,hot_underforecast_clean,1.2891,0.6404
frozen_live_like_route_price,2026-05-22,Munich,capped_d2_no,0.55,0.0,0.351,0.26325,2.3931818181818176,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197
frozen_live_like_route_price,2026-05-30,Karachi,capped_d2_no,0.56,1.0,0.313812,0.2039778,1.821230357142857,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056
frozen_live_like_route_price,2026-05-30,Shanghai,capped_d2_no,0.56,0.0,0.30699,0.19954349999999998,1.7816383928571426,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.9496,0.5075
frozen_live_like_route_price,2026-05-31,Ankara,capped_d2_no,0.6,1.0,0.30150000000000005,0.19597500000000004,1.6331250000000004,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.7653,0.441
frozen_live_like_route_price,2026-05-31,Karachi,capped_d2_no,0.55,0.0,0.351,0.22815,2.0740909090909088,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056
frozen_live_like_route_price,2026-06-01,Wuhan,capped_d2_no,0.6,1.0,0.27135000000000004,0.24421500000000004,2.0351250000000003,downweight,gfs_seamless,gfs,mild_or_mixed,0.1514,0.2753
frozen_live_like_route_price,2026-06-02,Munich,capped_d2_no,0.51,1.0,0.3906,0.29295,2.8720588235294118,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197
frozen_live_like_route_price,2026-06-03,BuenosAires,capped_d2_no,0.58,1.0,0.282744,0.212058,1.8280862068965518,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.6053,0.4747
frozen_live_like_route_price,2026-06-04,Karachi,capped_d2_no,0.58,1.0,0.32130000000000003,0.20884500000000003,1.8003879310344832,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056
frozen_live_like_route_price,2026-06-05,Karachi,capped_d2_no,0.57,1.0,0.33120000000000005,0.21528000000000003,1.8884210526315792,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056
frozen_live_like_route_price,2026-06-06,Chongqing,capped_d2_no,0.46,1.0,0.39609,0.25745850000000003,2.7984619565217392,downweight,gfs_seamless,gfs,hot_underforecast_clean,1.2798,0.5787
frozen_live_like_route_price,2026-06-07,Munich,capped_d2_no,0.49,1.0,0.41040000000000004,0.3078,3.1408163265306124,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197
frozen_live_like_route_price,2026-06-08,Dallas,capped_d2_no,0.53,1.0,0.37079999999999996,0.24101999999999998,2.27377358490566,downweight,gfs_seamless,gfs,hot_underforecast_clean,3.8596,0.9213
