target_date,current_x,probability,scenario,decision_ts_utc,p_win,midpoint,entry_price_proxy,effective_cost_per_share,won,cash_cost,pnl
2026-07-23,15,p_r16_final_descriptive,midpoint,2026-07-23T08:02:58.125758+00:00,0.9996969392344295,0.9985,0.9985,0.9985748875,True,4.9928744375,0.007125562499999738
2026-07-23,16,p_r16_final_descriptive,midpoint,2026-07-23T09:02:40.860265+00:00,0.999209990932384,0.995,0.995,0.99524875,True,4.97624375,0.023756249999999923
2026-07-23,17,p_r16_final_descriptive,midpoint,2026-07-23T09:31:41.383835+00:00,0.9578458199948214,0.926,0.926,0.9294262000000001,True,4.647131000000001,0.3528689999999992
2026-07-23,19,p_r16_final_descriptive,midpoint,2026-07-23T10:02:12.862656+00:00,0.661922536083119,0.425,0.425,0.43721875,True,2.18609375,2.81390625
2026-07-24,14,p_r16_final_descriptive,midpoint,2026-07-24T05:01:23.439703+00:00,0.9998962349208128,0.9995,0.9995,0.9995249875000001,True,4.9976249375,0.002375062499999636
2026-07-24,16,p_r16_final_descriptive,midpoint,2026-07-24T05:31:47.832491+00:00,0.9998895417439464,0.9995,0.9995,0.9995249875000001,True,4.9976249375,0.002375062499999636
2026-07-24,17,p_r16_final_descriptive,midpoint,2026-07-24T06:32:50.475452+00:00,0.9998113338211647,0.9995,0.9995,0.9995249875000001,True,4.9976249375,0.002375062499999636
2026-07-24,18,p_r16_final_descriptive,midpoint,2026-07-24T07:02:44.860268+00:00,0.9981664487586385,0.9955,0.9955,0.9957239875,True,4.9786199375,0.021380062499999575
2026-07-24,19,p_r16_final_descriptive,midpoint,2026-07-24T08:03:33.217250+00:00,0.9798691013846264,0.94,0.94,0.94282,True,4.7141,0.2858999999999998
2026-07-24,20,p_r16_final_descriptive,midpoint,2026-07-24T10:31:56.377255+00:00,0.8028549124882906,0.65,0.65,0.661375,True,3.3068750000000002,1.6931249999999998
2026-07-25,15,p_r16_final_descriptive,midpoint,2026-07-25T03:00:06.700363+00:00,0.9989696319856406,0.9985,0.9985,0.9985748875,True,4.9928744375,0.007125562499999738
2026-07-25,17,p_r16_final_descriptive,midpoint,2026-07-25T06:24:16.123596+00:00,0.9998174671017577,0.9995,0.9995,0.9995249875000001,True,4.9976249375,0.002375062499999636
2026-07-25,18,p_r16_final_descriptive,midpoint,2026-07-25T06:33:36.724327+00:00,0.9427423434344556,0.931,0.931,0.93421195,True,4.67105975,0.3289402499999996
2026-07-25,19,p_r16_final_descriptive,midpoint,2026-07-25T11:33:12.190303+00:00,0.47473611598129806,0.355,0.355,0.36644875,True,1.83224375,3.16775625
2026-07-25,20,p_r16_final_descriptive,midpoint,2026-07-25T13:32:34.722591+00:00,0.16111794750215314,0.09,0.09,0.094095,False,0.470475,-0.470475
2026-07-26,17,p_r16_final_descriptive,midpoint,2026-07-26T04:02:10.264471+00:00,0.9572016296899115,0.955,0.955,0.95714875,True,4.78574375,0.21425625000000004
2026-07-26,18,p_r16_final_descriptive,midpoint,2026-07-26T10:02:54.116145+00:00,0.9365466427959712,0.795,0.795,0.8031487500000001,True,4.01574375,0.9842562499999996
2026-07-26,19,p_r16_final_descriptive,midpoint,2026-07-26T11:03:39.560653+00:00,0.7348883127115124,0.435,0.435,0.44728875,False,2.2364437500000003,-2.2364437500000003
2026-07-27,18,p_r16_final_descriptive,midpoint,2026-07-27T06:12:41.939245+00:00,0.9597011735660007,0.955,0.955,0.95714875,True,4.78574375,0.21425625000000004
2026-07-27,19,p_r16_final_descriptive,midpoint,2026-07-27T09:03:35.304486+00:00,0.926858893698714,0.86,0.86,0.86602,True,4.3301,0.6699000000000002
2026-07-27,20,p_r16_final_descriptive,midpoint,2026-07-27T13:02:00.572692+00:00,0.6278630375065515,0.35,0.35,0.361375,True,1.806875,3.193125
2026-07-27,21,p_r16_final_descriptive,midpoint,2026-07-27T15:01:56.227608+00:00,0.004862302620890072,0.0035,0.0035,0.0036743875,False,0.0183719375,-0.0183719375
2026-07-29,23,p_r16_final_descriptive,midpoint,2026-07-29T12:02:25.655135+00:00,0.9385952513288418,0.875,0.875,0.88046875,True,4.40234375,0.59765625
2026-07-29,24,p_r16_final_descriptive,midpoint,2026-07-29T12:31:29.170581+00:00,0.29465538807393105,0.17,0.17,0.17705500000000002,False,0.885275,-0.885275
2026-07-15,21,p_r16_final_descriptive,ask_markup_median,2026-07-15T06:33:27.771861+00:00,0.9998310791759465,0.9995,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-15,22,p_r16_final_descriptive,ask_markup_median,2026-07-15T08:13:07.521818+00:00,0.9991447377666811,0.998,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-15,23,p_r16_final_descriptive,ask_markup_median,2026-07-15T09:42:38.514174+00:00,0.9992630747779108,0.9975,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-15,24,p_r16_final_descriptive,ask_markup_median,2026-07-15T11:22:24.147271+00:00,0.9998745064503677,0.9995,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-15,25,p_r16_final_descriptive,ask_markup_median,2026-07-15T11:32:50.407365+00:00,0.9097285618778532,0.81,0.821482,0.8288144661838001,True,4.144072330919,0.8559276690809998
2026-07-15,26,p_r16_final_descriptive,ask_markup_median,2026-07-15T13:02:25.188618+00:00,0.31710454767766855,0.165,0.175,0.18221874999999998,False,0.9110937499999999,-0.9110937499999999
2026-07-16,19,p_r16_final_descriptive,ask_markup_median,2026-07-16T05:52:54.724896+00:00,0.9995100264021886,0.9985,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-16,20,p_r16_final_descriptive,ask_markup_median,2026-07-16T06:12:17.895733+00:00,0.9887342439028552,0.9755,0.986982,0.9876244265838,True,4.938122132919,0.06187786708099985
2026-07-16,21,p_r16_final_descriptive,ask_markup_median,2026-07-16T06:32:19.191202+00:00,0.9445700740301801,0.925,0.936482,0.9394561731838,True,4.697280865919,0.30271913408100026
2026-07-16,22,p_r16_final_descriptive,ask_markup_median,2026-07-16T08:13:02.490366+00:00,0.5746090434103752,0.49,0.5225,0.5349746875,False,2.6748734375,-2.6748734375
2026-07-17,19,p_r16_final_descriptive,ask_markup_median,2026-07-17T05:31:54.667004+00:00,0.999663921113843,0.999,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-17,20,p_r16_final_descriptive,ask_markup_median,2026-07-17T06:32:14.205068+00:00,0.9990866531680938,0.9975,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-17,21,p_r16_final_descriptive,ask_markup_median,2026-07-17T08:22:36.518097+00:00,0.9998006973250259,0.9995,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-17,22,p_r16_final_descriptive,ask_markup_median,2026-07-17T09:22:55.036650+00:00,0.9998263939868459,0.9995,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-17,23,p_r16_final_descriptive,ask_markup_median,2026-07-17T09:32:23.424484+00:00,0.9507415003481414,0.91,0.921482,0.9250996461838,True,4.625498230919,0.3745017690810002
